time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1667332843645558800,-2.290441162109375,230.94587898254395,-1,-1,35.95311097071731,262.35587882995605,-1,45,23.007564544677734,-83.93865972417854,-1
1667332845948035000,0.01203515625,230.94587898254395,-1,-1,35.95311097071731,262.35587882995605,-1,45,23.007564544677734,-83.93865972417854,-1
1667332845949319000,0.01331884765625,234.88640022277832,-1,-1,35.953116504364765,266.29640007019043,-1,45,19.654457092285156,-83.93865264337353,-1
1667332850105976000,4.16997607421875,237.8291358947754,-1,-1,35.9531846978978,269.2391357421875,-1,38,18.331819534301758,-83.93872674924445,-1
1667332850699783200,4.763783203125,254.47125244140625,1.7799999713897705,23.3176357414726,35.95323257617275,285.88125228881836,181.0546875,26.622327566081125,32,-83.9386760909892,0.23999999463558197
1667332851703033900,5.767033935546875,227.61285400390625,3.559999942779541,84.66997559319951,35.95351085535805,259.02285385131836,334.6875,16.159575972206454,3,-83.93885982230672,1.2999999523162842
1667332852037902000,6.101902099609375,228.1680908203125,1.600000023841858,67.84642736551437,35.953314802642865,259.5780906677246,27.421875,6.392923318940716,3,-83.93883576624462,1.059999942779541
1667332853041822000,7.105822021484375,228.16809092927724,1.600000023845329,67.84642736551442,35.95332331532332,259.57809077668935,27.42187818932588,6.39292331894069,3.0000000000000533,-83.93883033414606,1.059999942779526
1667332854037969200,8.10196923828125,228.48016368225217,1.769999980929594,90.73797712354128,35.953318529756665,259.8901635296643,319.21874551165894,6.933712169826849,3.000000000000069,-83.93886637725707,1.0599999427795264
1667332855041072000,9.105072021484375,228.93408213555813,0.7799999713966512,43.34949286949468,35.95332528783796,260.34408198297024,336.79687232518256,5.601798056779664,3.9999999999999982,-83.9388715027057,1.0399999618530131
1667332855996857600,10.060857666015625,228.74487321358174,0.9700000286198407,39.850267429386676,35.95334086926037,260.15487306099385,324.84374484261855,4.641751729475564,4.0008347360301455,-83.93888369384362,1.4400000572204255
1667332856997047000,11.061047119140625,227.92456073127687,1.1799999475566674,46.21259205634807,35.95335590342946,259.334560578689,324.14061947230203,4.541961657162482,4.001653359442089,-83.93889371229915,1.4500000476836783
1667332857997241600,12.06124169921875,228.65441912878305,1.019999980936667,40.23584526841246,35.953372191884874,260.06441897619516,326.95311985421455,4.347956410911001,4.056053802848466,-83.9389018628165,1.450000047683678
