ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.9748,1.9842,7.6286,-0.9929,3.9883,8.9038,-0.1634,-0.0259,-0.6935,-0.6332,-0.9256,0.487,623.4,0.51,-41.76,-22.74,176.93,-24,6.36,5,35.958073,-83.924515,,NaN,,254.49283,,0 / 1,6,2022-10-28 13:52:29:429,
0.0748,0.306,9.1992,-0.972,1.2692,9.6755,0.2766,0.3524,-0.6746,-0.7496,-0.629,-0.1888,623.4,-7.18,-35.1,-33.11,161.43,-7.44,5.74,5,35.958073,-83.924515,,NaN,,254.49283,,0 / 1,506,2022-10-28 13:52:29:929,
14.1515,-4.5377,0.9694,8.2992,-5.1238,1.0199,0.7585,2.3662,1.7065,1.9745,-4.3304,2.9593,731.3,-32.83,-10.12,-17.46,205.68,31.5,-82.99,5,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,1006,2022-10-28 13:52:30:429,
6.8856,-5.2774,-1.0175,8.621,-4.5474,-1.0813,-1.3582,-1.1778,1.1761,-0.5371,1.3177,-0.6502,95,-31.89,29.25,30.88,73.51,29.17,-98.13,5,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,1505,2022-10-28 13:52:30:928,
7.4946,-0.2157,-0.4101,9.4128,-1.9374,-1.9536,0.7838,-0.1903,-2.8502,-0.3085,0.7345,-0.5328,0,-30.54,9.53,35.12,85.09,11.39,-101.72,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,2006,2022-10-28 13:52:31:429,
10.9705,-0.9413,-6.8524,9.2421,-2.2655,-2.371,5.6933,-3.215,-2.6807,0.5776,-0.426,-0.139,0,-22.16,6.56,37.67,90.54,13.36,-104.39,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,2506,2022-10-28 13:52:31:929,
12.3275,-6.8198,-3.5656,7.6034,-5.7931,-2.1904,11.4141,-3.5824,2.9771,0.9,0.3596,-0.5277,0.8,-14.51,24.09,32.55,78.81,36.21,-106.07,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,3005,2022-10-28 13:52:32:428,
7.2562,-6.9616,0.7896,7.7586,-5.4799,-2.4381,-0.5552,-1.3997,3.2231,-0.0996,-0.3457,0.4268,1.3,0.69,43.71,24.98,35.55,32.15,-107.07,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,3506,2022-10-28 13:52:32:929,
8.071,-5.5582,0.8841,7.7101,-5.4629,-2.623,1.3147,1.5684,3.038,0.4583,-0.5868,-0.4207,0,9.99,57.62,29.33,32.45,33.85,-108.79,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,4005,2022-10-28 13:52:33:428,
7.5966,-4.0262,-2.3692,7.5317,-5.534,-2.9697,-0.3454,1.1497,0.4647,8.00E-04,-0.245,0.2334,0,10.8,66.94,19.78,21.68,34.35,-111.52,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,4506,2022-10-28 13:52:33:929,
5.4838,-4.2805,-2.2361,7.7031,-4.9949,-3.4471,-2.9956,0.9644,1.5865,0.1135,0.243,-0.2521,0,8.29,67.39,13.05,14.46,30.62,-114.11,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,5005,2022-10-28 13:52:34:428,
5.7344,-3.4998,-2.3871,8.1344,-4.8948,-2.4584,-2.4464,1.3577,0.1918,0.3828,0.2036,0.1659,0,-0.32,65.04,8.78,8.77,28.96,-107.81,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,5506,2022-10-28 13:52:34:929,
6.4899,-4.3409,-0.9443,7.8585,-5.0621,-2.9646,-0.6543,0.1329,-1.1503,-0.4728,-0.21,-0.178,0,-6.75,54.08,0.64,357.94,31.08,-110.67,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,6006,2022-10-28 13:52:35:429,
10.6155,-6.0724,-4.4082,8.2731,-4.8477,-2.0559,6.2656,-2.815,-0.4061,0.3312,0.7839,0.1775,0,-12.73,37.52,0.15,353.33,29.63,-103.96,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,6506,2022-10-28 13:52:35:929,
11.0704,-9.02,-5.6079,7.996,-5.244,-2.1758,4.2907,-3.3066,2.0872,0.6352,0.5198,0.1309,0,-9.86,26.79,4.71,7.39,32.33,-105.22,2,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,7006,2022-10-28 13:52:36:429,
11.0432,-7.5072,-0.2225,8.1158,-4.8541,-2.5965,2.9513,-2.7463,2.3256,0.5589,0.3789,0.2592,0,-8.83,24.71,7.95,14.63,28.2,-110.38,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,7505,2022-10-28 13:52:36:928,
9.2877,-4.5108,-0.8575,8.0201,-4.8077,-2.9555,-0.5056,1.4897,0.3473,-0.5898,-0.4568,0.0147,0,-10.5,29.14,4.78,3.56,29.36,-110.23,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-Sep,8006,2022-10-28 13:52:37:429,
5.7329,-4.2284,-2.4359,8.2132,-4.5444,-2.8393,-2.8247,0.6428,0.4833,0.5327,-0.265,-0.3933,0,-13.37,38.29,3.32,357.31,27,-108.62,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-Sep,8506,2022-10-28 13:52:37:929,
7.8144,-4.2817,-2.674,7.9892,-5.4499,-1.625,-0.5974,1.0854,-0.8619,-0.1975,0.0635,0.3034,0,-14.94,46.31,-2.72,348.97,33.76,-101.5,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-Sep,9006,2022-10-28 13:52:38:429,
6.0885,-4.4602,-2.1619,7.8971,-5.2778,-2.4395,-1.6978,0.7773,0.2384,0.2798,-0.1979,-0.431,0,-15.75,47.81,-3.06,346.48,33.86,-107.46,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-Sep,9506,2022-10-28 13:52:38:929,
6.0951,-2.5834,-0.5192,8.0094,-4.8864,-2.8537,-1.8071,1.3966,1.395,0.265,-1.5268,-0.0482,0,-20.81,44.48,0.69,347.75,29.89,-109.61,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-Sep,10005,2022-10-28 13:52:39:428,
9.4534,-4.5135,-3.2393,8.015,-4.9176,-2.7836,2.7591,-1.7352,-0.0568,1.378,-0.7384,-0.4265,0,-21.82,46.29,2.08,348.32,30.17,-110.99,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-Sep,10506,2022-10-28 13:52:39:929,
8.5238,-3.664,-0.1965,7.4336,-5.5193,-3.2325,4.1882,-1.074,1.8015,0.8019,-1.1436,0.2819,0,-26.59,42,-4.63,324.97,34.25,-113.5,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-Sep,11006,2022-10-28 13:52:40:429,
10.2479,-5.7236,-4.4671,8.2179,-5.0175,-1.8603,0.5815,-0.2626,-1.1626,-0.4612,0.4673,0.1004,0,-30.3,28.78,-5.53,310.42,30.77,-102.76,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-Sep,11505,2022-10-28 13:52:40:928,
7.3992,-5.7517,-4.3708,7.6433,-5.3787,-2.9699,-0.6739,0.2385,-0.7513,0.6016,-0.4206,-0.3241,0,-25.2,18.23,-2.36,284.77,32.84,-111.42,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-Sep,12006,2022-10-28 13:52:41:429,
6.9009,-4.608,-2.6007,8.148,-4.8921,-2.418,-1.9255,0.0138,-0.8097,0.7315,-0.079,-0.2836,0,-23.7,1.82,2.94,203.44,30.22,-107.7,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-Sep,12506,2022-10-28 13:52:41:929,
6.2892,-3.801,-3.9075,7.7702,-5.2936,-2.788,-0.6446,-0.9953,1.6708,0.4924,0.7849,0.1485,0,-17.81,-5.83,1.86,196.08,32.67,-109.74,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-Sep,13006,2022-10-28 13:52:42:429,
8.4494,-4.6214,-0.3837,7.9027,-5.0275,-2.9055,0.8206,1.8314,2.71,0.7392,-0.3563,-0.6722,0,-15.67,-6.24,-3.99,217.38,30.84,-110.19,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-Sep,13505,2022-10-28 13:52:42:928,
10.1477,-7.6549,-1.6834,7.1123,-5.6836,-3.6444,2.3554,0.1166,1.999,0.6149,-0.6886,0.0539,0,-17.96,-8.94,-3.41,216.03,32.89,-118.35,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-Sep,14006,2022-10-28 13:52:43:429,
11.8729,-9.4846,-1.4847,7.8902,-5.2542,-2.5117,1.5333,-3.5326,-0.1895,0.2751,1.2347,-0.1589,0,-21.36,-9.62,-9.84,226.87,31.68,-113.73,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-Sep,14506,2022-10-28 13:52:43:929,
12.6114,-7.989,-2.1975,7.7591,-4.6655,-3.7682,0.3355,1.4658,0.5316,-0.5405,0.2282,-0.0546,0,-26.76,-20.92,-13.03,220.68,28.41,-115.9,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-Sep,15005,2022-10-28 13:52:44:428,
8.5134,-6.4277,-2.5095,8.0508,-4.4313,-3.4233,-1.424,-0.8726,-0.2992,0.4076,-0.03,0.3778,0,-25.8,-27.51,-6.86,205.68,26.86,-113.04,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-Sep,15506,2022-10-28 13:52:44:929,
13.9896,-9.8204,-2.9118,8.0625,-4.8465,-2.7711,3.508,-1.374,1.4494,0.3554,0.5148,-0.0425,0,-21.77,-30.71,-6.86,204.2,27.37,-115.67,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-Sep,16006,2022-10-28 13:52:45:429,
5.2104,-4.943,-3.8273,8.0949,-4.3159,-3.4665,-2.2654,-0.5578,-0.2185,0.2646,0.1871,-0.409,0,-22.33,-28.59,-13.59,213.32,26.02,-112.75,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-Sep,16505,2022-10-28 13:52:45:928,
7.3711,-3.1029,-3.1367,8.0078,-4.6946,-3.1633,-1.6831,1.6547,-0.4822,-0.2252,-0.3676,0.2625,0,-15.86,-32.87,-20.72,218.1,28.6,-111.56,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-May,17006,2022-10-28 13:52:46:429,
5.3626,-2.8214,-3.1343,8.114,-4.5013,-3.1736,-2.495,1.1551,0.3526,0.3198,0.059,-0.5464,0,-7.39,-30.04,-14.49,209.72,27.32,-111.36,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,17-May,17505,2022-10-28 13:52:46:928,
5.8851,-2.8086,-4.6597,8.4311,-4.2427,-2.6622,-1.7952,1.7549,-0.517,0.3171,0.7894,-0.0218,0.8,4.8,-18.06,-1.2,177.17,25.16,-109.19,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,18006,2022-10-28 13:52:47:429,
7.4949,-3.2533,-4.13,7.9409,-4.5293,-3.5493,0.1192,1.0433,-0.9367,1.1815,-0.3662,-0.3702,0.2,11.16,-0.45,15.06,83,27.27,-111.25,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,18505,2022-10-28 13:52:47:928,
7.7043,-3.3984,-0.4564,8.0039,-4.5053,-3.4367,0.9088,1.6785,3.626,1.4442,-0.0968,-0.9427,1.1,3.69,13.95,22.89,66.33,27.35,-113.24,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,19006,2022-10-28 13:52:48:429,
9.3503,-3.804,-1.273,7.6776,-4.4554,-4.1682,3.3315,0.3111,2.0271,0.1263,-0.6864,0.6611,1,-6.04,21.34,19.43,48.61,27.02,-118.5,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,19505,2022-10-28 13:52:48:928,
10.506,-6.4911,-4.2117,7.7054,-4.9139,-3.5568,0.2327,-0.3778,-1.3438,0.5001,-0.7425,-0.466,2.2,-0.21,34.28,24.19,41.79,30.07,-114.78,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 18,20006,2022-10-28 13:52:49:429,
6.8527,-3.909,-3.8303,8.1349,-4.5965,-2.9777,-1.1471,0.7014,-0.8573,0.1875,-0.2337,0.0607,1.5,-3.07,43.24,20.93,29.25,27.54,-109.4,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 18,20506,2022-10-28 13:52:49:929,
6.4564,-3.9377,-1.7103,7.8581,-4.569,-3.6804,-0.7482,0.5159,0.2229,0.6735,-1.1996,-0.0211,1.3,-14.42,33.21,18.73,29.97,27.77,-115.1,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 18,21006,2022-10-28 13:52:50:429,
12.4505,-5.5454,-5.2753,8.2075,-4.0561,-3.515,9.3012,-3.7197,0.1204,-0.1088,1.446,-0.0995,1.1,-23.57,20.18,11.87,12.52,24.43,-113.18,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 18,21506,2022-10-28 13:52:50:929,
8.5202,-6.7905,-6.4334,8.137,-4.4077,-3.2452,4.9561,-2.0849,0.8641,1.1411,1.2196,-0.0148,0,-29.42,2.79,8.7,192.3,26.71,-111.74,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 18,22005,2022-10-28 13:52:51:428,
9.6568,-5.1203,-2.2035,8.1863,-4.1524,-3.4515,1.3632,-1.1183,1.0937,2.00E-04,0.3079,0.2346,0,-28.89,-2.32,7.58,198.52,24.24,-114.41,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 18,22505,2022-10-28 13:52:51:928,
12.0422,-6.0805,-1.9941,7.9305,-3.9762,-4.1795,0.1138,1.4099,1.5928,-0.1935,-0.2645,-0.1442,0,-25.16,-1.88,7.07,204.27,23.92,-117.79,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 18,23006,2022-10-28 13:52:52:429,
6.1214,-3.4062,-3.8794,8.1433,-3.7444,-3.9795,-1.4623,0.3523,0.4417,0.2958,-0.2536,-0.3234,0,-19.46,5.25,7.5,199.63,22.45,-116.04,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 18,23506,2022-10-28 13:52:52:929,
6.4481,-1.9771,-3.3129,7.7157,-3.9933,-4.5488,-0.6584,0.7761,0.2816,-0.3283,-0.6029,0.2524,0,-15.9,11.76,7.39,331.75,24.03,-120.52,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 18,24006,2022-10-28 13:52:53:429,
6.8946,-2.7371,-3.0945,8.2465,-4.1681,-3.2852,-1.2196,1.3778,0.1278,-0.0489,0.7469,-0.2073,0,-12.97,18.38,3.9,351.15,25.72,-113.91,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 18,24505,2022-10-28 13:52:53:928,
6.0407,-3.2758,-3.947,8.2851,-4.1793,-3.1719,-0.7552,2.0656,2.2948,0.8212,0.0564,-0.0199,0,-11.66,21.23,-0.66,340.03,25.22,-110.95,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 18,25006,2022-10-28 13:52:54:429,
6.1872,-4.1109,-2.2301,8.1159,-4.2871,-3.4529,-1.5601,0.1202,-0.4307,0.2925,0.0259,-0.3015,0,-10.22,24.66,-3.6,338.36,25.92,-113.05,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 18,25505,2022-10-28 13:52:54:928,
8.3955,-3.1983,-2.2056,8.6416,-3.6126,-2.9056,1.6444,0.5334,-1.648,-0.9706,-0.0049,0.0881,0,-9.54,29.16,-7.76,336.19,21.62,-108.58,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,4-Jan,26006,2022-10-28 13:52:55:429,
13.8972,-8.5789,-3.6491,8.1542,-4.2486,-3.4101,3.8089,-1.5508,1.2892,0.674,-0.0314,-0.0171,0,-8.92,34.76,-12.36,334.1,25.67,-112.69,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,4-Jan,26506,2022-10-28 13:52:55:929,
6.8366,-2.4861,-3.9162,7.9842,-3.6244,-4.3916,-2.9371,0.2036,-0.6287,-0.1826,-0.4387,-0.1612,0,-13.97,44.27,-15.36,332.95,22.23,-116.56,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 4,27006,2022-10-28 13:52:56:429,
9.5378,-2.8537,-3.3553,8.592,-4.1286,-2.3028,1.4362,1.1331,-1.619,-0.421,0.0502,0.0567,0,-12.9,41.83,-16.5,331.41,25.37,-103.58,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 4,27505,2022-10-28 13:52:56:928,
7.6549,-5.4891,-2.9387,8.1709,-5.0575,-1.9566,-6.00E-04,0.1431,0.6404,0.471,0.2063,-0.5153,0,-14.33,35.16,-11.4,330.11,31.05,-103.47,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 5,28006,2022-10-28 13:52:57:429,
8.176,-6.4478,-2.0246,8.4218,-4.5685,-2.0912,-2.1037,-1.5753,-0.0091,0.8017,0.2396,-0.3712,0,-25.57,21.54,-9.64,298.95,27.77,-103.95,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 5,28505,2022-10-28 13:52:57:928,
6.9835,-2.0022,-2.6201,8.1969,-4.3439,-3.18,-1.0324,1.3311,0.6876,0.4776,-1.0753,0.1259,0,-31.48,9.24,-5.61,256.68,25.69,-109.08,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 5,29006,2022-10-28 13:52:58:429,
5.607,-3.6338,-2.0438,7.7931,-4.8198,-3.4939,-2.2112,-0.9924,1.5046,0.751,-0.5653,-0.3315,0,-31.37,14.04,4.41,254.34,29.19,-113.42,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 5,29506,2022-10-28 13:52:58:929,
14.4885,-4.4997,-1.2778,7.7448,-4.8563,-3.5503,9.2854,-1.6023,3.2351,1.5999,-0.1501,0.0031,0,-25.56,19.31,15.39,58.64,29.68,-114.63,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 5,30006,2022-10-28 13:52:59:429,
8.6889,-4.2395,-4.302,8.4868,-4.2727,-2.4264,-0.1755,-0.1772,-0.9381,-0.1509,0.0945,0.0616,0,-22.26,17.21,26.25,81.09,25.83,-105.96,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 5,30506,2022-10-28 13:52:59:929,
6.358,-1.4004,-4.3286,7.9043,-4.511,-3.6528,-2.2756,0.4111,-1.9816,0.5763,-0.867,-0.0267,0,-23.57,10.03,32.66,105.8,27.05,-109.92,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 5,31005,2022-10-28 13:53:00:428,
11.511,-2.9016,-3.2509,8.4413,-3.7262,-3.3212,5.186,0.2781,-0.5905,-1.8806,-0.0861,0.1161,0,-23.59,5.63,32.68,109.62,24.66,-108.57,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 5,31506,2022-10-28 13:53:00:929,
11.6806,-7.1198,-1.3466,8.0837,-4.0053,-3.8447,0.5715,0.5696,0.7509,0.572,-0.6208,-0.2957,0,-27.6,-4.69,27.13,147.81,24.11,-115.44,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 5,32006,2022-10-28 13:53:01:429,
5.8753,-3.501,-3.5886,8.418,-3.5659,-3.5484,-1.971,-0.1581,-0.1003,-0.4259,-0.0544,-0.0011,0.2,-25.69,-7.16,27.51,140.7,21.32,-112.86,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 5,32505,2022-10-28 13:53:01:928,
6.5982,-0.8539,-1.3113,7.9388,-4.2211,-3.9151,0.5299,2.4977,1.7796,-0.255,-0.8701,-0.0161,0,-25.42,-8.31,22.5,152.57,25.45,-113.85,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 6,33006,2022-10-28 13:53:02:429,
6.5094,-3.5868,-3.9162,8.4489,-3.8121,-3.2023,-1.8485,0.2181,-0.6273,0.6299,0.3178,-0.4438,1,-25.01,-4.91,22.84,144.95,24.11,-111.43,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 6,33506,2022-10-28 13:53:02:929,
5.7637,-2.3324,-2.6776,8.4646,-3.5873,-3.4135,0.1916,0.9962,1.913,0.162,-0.0458,0.1178,0,-26.23,-4.86,21.58,147.06,21.46,-111.96,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 6,34006,2022-10-28 13:53:03:429,
8.3545,-6.8396,-5.284,8.4287,-4.1321,-2.8378,4.7732,-5.1396,-1.0823,-1.0435,-0.6053,0.5704,0,-27.69,-2.89,20.78,146.75,24.92,-108.61,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 6,34505,2022-10-28 13:53:03:928,
14.31,-3.352,-2.8053,8.7349,-3.5149,-2.7418,3.3274,-2.339,0.3803,-0.4008,0.2563,-0.151,0.2,-31.14,-7.22,22.22,149.02,21,-107.43,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 6,35006,2022-10-28 13:53:04:429,
8.7903,-2.1179,-2.6405,8.4023,-3.7917,-3.3458,-0.6527,2.1162,0.3648,0.2941,-0.4645,0.0483,0,-28.88,-2.87,23.81,145.95,23.32,-111.9,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 6,35505,2022-10-28 13:53:04:928,
6.8486,-4.4662,-2.3297,8.7265,-3.496,-2.7924,-2.0525,0.3629,-0.1641,1.0432,-0.4122,-0.367,0.2,-25.07,9.73,25.67,96.56,20.88,-107.74,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 7,36006,2022-10-28 13:53:05:429,
7.1246,-2.7009,-4.8811,8.6734,-3.9348,-2.3367,-1.9897,1.2261,-2.2518,0.1415,-0.2432,0.1366,0.2,-22.57,22.28,20.36,55.52,23.66,-105.08,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 7,36506,2022-10-28 13:53:05:929,
6.6359,-1.9729,-1.04,8.2098,-4.1877,-3.3515,0.5291,-0.8115,-2.4344,1.6608,-1.6805,-0.5869,0.5,-16.46,37.18,19.07,25.63,25.28,-112.21,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 7,37005,2022-10-28 13:53:06:428,
9.4732,-2.3462,2.056,8.3045,-4.1754,-3.1261,1.1112,1.9937,5.108,2.2063,0.0725,-1.0329,1.8,-19.22,37.88,21.23,24.68,25.39,-115.88,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 7,37506,2022-10-28 13:53:06:929,
10.2129,-2.5202,-0.6467,8.4924,-3.8505,-3.037,5.559,-1.083,0.4488,-0.4142,-0.8695,-0.2036,0.5,-15.39,45.32,30.13,36.05,23.12,-109.68,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,7-Mar,38005,2022-10-28 13:53:07:428,
7.0226,-5.2253,-4.8622,8.2222,-4.5268,-2.8414,-0.7203,-0.3173,-1.0205,1.2011,-0.4986,-0.3883,1.7,-8.57,44.38,45,54.42,27.49,-109.06,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,7-Mar,38506,2022-10-28 13:53:07:929,
5.9402,-3.559,-2.4042,8.3234,-4.1733,-3.0781,-0.7726,0.1888,0.3821,0.3762,-0.4985,0.14,1,-18.36,38.64,30.47,42.76,25.19,-110.29,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,7-Mar,39006,2022-10-28 13:53:08:429,
7.6367,-4.9756,-3.6523,7.9283,-4.1721,-3.9883,-0.1421,-0.857,0.1574,0.7441,-0.82,-0.3542,0.3,-22.61,27.17,29.18,57.3,24.97,-115.53,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,7-Mar,39506,2022-10-28 13:53:08:929,
16.8936,-5.4422,-4.8547,8.3901,-3.6331,-3.5463,3.5379,-3.2251,0.7677,-0.3437,0.8027,0.2457,0.2,-19.22,24.81,29.53,58.48,21.75,-112.91,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,7-Mar,40006,2022-10-28 13:53:09:429,
9.6607,-3.1732,-2.3273,8.0845,-4.1149,-3.7254,-0.5973,2.1956,0.8262,-0.3425,-0.0246,0.0355,0,-19.76,19.31,29.98,77,24.81,-114.74,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,7-Mar,40506,2022-10-28 13:53:09:929,
6.0709,-4.4668,-4.6292,7.5693,-4.3627,-4.4545,-1.3965,-0.5387,-0.0582,-0.0418,-0.4734,-0.0654,0,-14.81,21.79,25.5,61.35,26.42,-120.48,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,7-Mar,41006,2022-10-28 13:53:10:429,
7.0328,-2.2887,-2.9919,8.0927,-4.6418,-3.022,-0.8665,2.2858,-0.0254,0.2056,-0.1096,-0.0281,0,-13.93,21.92,21.62,58.89,28.33,-110.43,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,7-Mar,41506,2022-10-28 13:53:10:929,
6.6715,-3.5031,-3.2994,8.3349,-4.2859,-2.8863,-2.0851,0.5746,0.2651,-0.4077,0.4767,-0.2799,0,-15.15,24.51,13.89,30.21,25.92,-109.1,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,7-Mar,42005,2022-10-28 13:53:11:428,
6.5752,-3.0036,-1.5873,8.4948,-3.8005,-3.0927,-1.0424,-0.3662,1.2649,-0.6144,0.006,0.3489,0,-17.91,26.79,10.52,14.34,22.16,-109.38,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,7-Mar,42507,2022-10-28 13:53:11:930,
5.5699,-3.0084,-2.1873,8.3225,-4.0549,-3.2348,-2.3939,-0.3318,2.172,0.1202,0.045,-0.1597,0,-16.87,33.06,11.79,13.04,24.42,-111.24,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,7-Mar,43005,2022-10-28 13:53:12:428,
7.7946,-2.9548,-4.2467,8.9202,-3.084,-2.6625,5.4051,1.8076,-0.0779,-1.1864,-0.4383,0.047,0,-19.48,35.63,10.95,10.53,18.33,-106.62,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,7-Mar,43506,2022-10-28 13:53:12:929,
11.0139,-6.8312,-5.3477,8.6323,-3.7018,-2.8197,4.8522,-5.5627,-0.3984,0.6305,0.4852,-0.0489,0,-18.17,38.31,16.11,19.71,22.18,-108.09,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,7-Mar,44006,2022-10-28 13:53:13:429,
13.5227,-5.9623,-1.0026,8.6354,-3.808,-2.6643,3.522,-2.9953,1.0799,-0.1038,0.4181,0.0703,0,-14.77,40.89,16.03,18.83,22.23,-108.38,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,7-Mar,44506,2022-10-28 13:53:13:929,
8.2445,-3.6867,-2.988,8.3282,-3.9982,-3.2903,0.409,1.1618,-2.0602,0.4652,-0.7815,-0.2529,0,-10.03,37.14,15.99,22.1,24.06,-111.56,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,7-Mar,45005,2022-10-28 13:53:14:428,
