sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.7414;5.0294;8.2511;-1.5403;4.7102;8.4624;-0.2982;0.2846;-0.1506;-0.2185;-0.2659;0.3196;23.8;3.23;1.22;-38.51;15.92;-29.5;12.76;5.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;9;2022-09-09 16:21:24:424
-0.3802;3.8922;8.4126;-1.2897;4.2779;8.7296;0.208;0.218;-0.1153;-0.2584;0.0657;0.1297;23.8;0.15;-0.96;-41.72;19.61;-25.86;8.4;5.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;509;2022-09-09 16:21:24:924
2.8519;4.031;8.6653;0.8128;1.9073;9.585;0.7703;1.1403;-0.9605;-0.1439;-0.2409;-1.1509;23.8;-4.18;-1.12;-46.95;13.92;-12.05;-2.2;5.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;1009;2022-09-09 16:21:25:424
2.913;0.8913;10.9373;1.8458;1.7145;9.4775;0.6762;-1.7674;-2.5758;-0.2036;0.2012;0.575;26.8;-4.37;-8.92;-49.01;266.64;-10.07;-11.02;5.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;1510;2022-09-09 16:21:25:925
4.3373;0.8112;5.0967;4.4511;2.0192;8.5019;-1.3443;-2.544;-0.5855;0.3956;-0.5849;-0.2367;14.0;-7.82;-15.69;-56.96;234.06;-6.38;-21.4;5.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;2009;2022-09-09 16:21:26:424
2.1742;0.5955;9.2243;3.648;2.4138;8.777;2.1124;0.3954;1.5047;0.0131;0.7246;0.0833;11.6;24.71;-37.26;-27.0;226.62;-14.56;-26.81;5.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;2509;2022-09-09 16:21:26:924
5.0438;1.0325;10.3615;3.9421;1.7195;8.8132;1.0913;0.3643;2.748;-0.7823;-0.2145;-0.0351;9.7;21.9;-20.4;-47.68;251.1;-10.1;-24.1;5.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;3010;2022-09-09 16:21:27:425
7.7058;-0.7714;6.2088;7.229;-1.4205;6.4726;-0.2115;-0.3632;2.062;-0.9092;-2.2499;-1.5341;13.5;7.82;23.18;-75.11;284.98;8.33;-48.16;5.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;3509;2022-09-09 16:21:27:924
8.9701;-4.9875;-0.8249;9.3623;-2.6427;-1.2387;-1.6887;-0.6416;1.8427;2.0541;-2.263;1.5212;13.5;-50.25;35.94;-53.76;300.0;5.21;-90.34;5.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;4009;2022-09-09 16:21:28:424
5.7799;-0.9006;-2.2424;9.2557;-1.6206;-2.8064;-1.9228;-0.3804;0.7249;-0.8697;0.0135;-1.2908;4.3;-67.37;40.88;-24.62;305.59;9.51;-106.87;5.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;4510;2022-09-09 16:21:28:925
9.3039;0.3909;-2.5475;9.151;-1.5508;-3.1661;0.1119;1.7264;2.0253;0.9336;-0.6654;-0.2849;1.3;-59.94;43.65;-40.2;302.48;9.1;-109.08;5.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;5010;2022-09-09 16:21:29:425
9.5889;-2.6677;-0.9987;9.7478;-0.4566;-0.9711;1.2554;-2.729;-1.5844;1.5883;-0.2284;-0.5933;5.9;-60.3;51.41;-64.29;304.84;2.67;-95.69;5.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;5509;2022-09-09 16:21:29:924
10.1169;3.21;-13.3173;9.2551;-0.0605;-3.2418;-1.0729;-0.9168;1.4509;-0.5955;2.2156;0.6879;7.3;-67.07;16.44;-66.13;280.57;-1.47;-117.79;5.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;6009;2022-09-09 16:21:30:424
10.1862;1.5808;-1.3875;9.5494;2.145;-0.6156;0.6188;-0.0379;-0.8969;-0.3452;0.4886;-0.533;9.6;-60.52;1.26;-63.79;281.17;-12.63;-93.69;5.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;6509;2022-09-09 16:21:30:924
6.3915;-1.9552;0.0763;9.443;0.2199;-2.6365;-2.4437;-0.3149;1.1642;-4.5304;1.1364;2.6995;9.6;-53.93;8.29;-48.36;278.31;-1.28;-105.6;5.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;7009;2022-09-09 16:21:31:424
5.368;-3.1271;-5.9219;8.5058;-4.5411;-1.7888;2.1056;1.1445;-1.5406;-1.8238;2.3381;-0.1856;4.4;-36.79;89.98;-44.59;322.49;27.59;-101.88;0.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;7509;2022-09-09 16:21:31:924
10.0328;-3.7077;-3.5913;8.3998;-3.6073;-3.5498;0.6495;1.3916;-0.5314;-2.3544;0.9007;0.3238;1.3;-24.81;100.13;-35.72;333.57;25.58;-112.19;0.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;8009;2022-09-09 16:21:32:424
9.4128;-1.4225;-5.0315;8.6067;-3.6807;-2.9237;-0.973;3.4297;0.9597;-0.8539;1.1567;1.5166;3.0;-28.67;93.53;-20.85;339.79;22.04;-108.76;2.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;8510;2022-09-09 16:21:32:925
7.9059;-2.2941;-2.8995;8.771;-3.7049;-2.3483;-1.0105;0.8783;0.982;1.2475;-0.8282;-0.1203;0.0;-26.16;88.26;-16.39;343.22;22.2;-104.99;0.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;9010;2022-09-09 16:21:33:425
6.3425;-3.2925;-0.5749;8.969;-2.9237;-2.6795;-3.9124;-4.477;-4.1495;-0.311;-1.4097;-0.8401;0.0;-37.26;82.37;-9.24;344.32;17.35;-106.63;0.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;9509;2022-09-09 16:21:33:924
8.9868;-4.5924;-2.2663;8.9402;-3.567;-1.8762;2.3627;-1.2634;-0.9458;-2.2457;1.3086;-1.0603;0.0;-42.69;78.47;0.24;348.65;27.55;-103.45;0.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;10010;2022-09-09 16:21:34:425
10.6878;-5.4015;-0.8405;8.8292;-3.5584;-2.3566;-0.1798;0.1661;-1.6221;-2.1704;1.5698;2.3759;3.6;-49.14;63.62;0.69;344.6;21.28;-104.94;0.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;10510;2022-09-09 16:21:34:925
11.6309;-5.7643;-3.4825;8.1786;-5.1393;-1.6937;2.1938;0.788;-0.4046;0.7102;0.1668;0.2035;0.0;-43.74;67.5;2.57;350.3;31.61;-101.7;0.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;11009;2022-09-09 16:21:35:424
9.0957;-6.9326;1.3848;9.2474;-2.9836;-1.3245;-0.6543;-3.4951;2.6179;0.2375;1.1611;0.5097;0.0;-39.92;61.99;-0.36;353.12;17.71;-98.15;0.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;11509;2022-09-09 16:21:35:924
8.5522;0.1672;-5.6444;9.0565;-1.8709;3.2633;-1.1398;0.0767;-7.9586;3.1234;0.2892;-2.6998;3.6;-37.11;68.55;-6.36;0.57;33.0;-80.22;0.0;35.958256;-83.92442;829.17;NaN;0.0;33.570072;;0 / 0;12010;2022-09-09 16:21:36:425
