sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.8207;2.7586;9.0841;-1.8344;3.3387;9.0365;0.8756;-0.15;-0.6969;-0.3122;-0.6995;-0.1056;11.8;1.69;-33.77;9.68;187.45;-22.38;15.27;5.0;;;;NaN;;;;0 / 0;8;2022-09-09 16:11:45:995
-1.2864;3.2399;9.4828;-1.3522;2.7446;9.3171;0.1229;0.1792;-0.3941;-0.1791;-0.1548;-0.0537;38.8;-3.34;-34.37;2.89;175.88;-16.82;10.26;5.0;;;;NaN;;;;0 / 0;508;2022-09-09 16:11:46:495
-2.056;3.1693;8.8771;-1.5432;3.2633;9.1181;-0.9864;0.24;-0.3988;0.4907;-0.3993;-0.0769;38.8;-4.22;-33.58;0.54;173.6;-16.0;11.49;5.0;;;;NaN;;;;0 / 0;1008;2022-09-09 16:11:46:995
-0.3682;1.1593;9.2961;-2.6644;2.1173;9.1972;1.7885;-1.1349;0.2596;0.5221;-1.1185;-0.147;32.3;-4.37;-32.1;-2.87;171.24;-12.18;19.44;5.0;;;;NaN;;;;0 / 0;1507;2022-09-09 16:11:47:494
-2.1505;2.3587;10.4094;-2.1372;2.3957;9.2663;-0.5053;-0.1003;0.7823;0.63;-0.1473;-0.1931;28.6;3.83;-28.91;-4.41;186.2;-11.86;13.25;5.0;;;;NaN;;;;0 / 0;2007;2022-09-09 16:11:47:994
-2.5445;3.0867;8.2869;-2.2673;2.5684;9.1887;-0.6484;0.4968;-0.0732;0.0799;-0.2276;-0.2282;28.6;14.23;-21.04;-5.31;214.38;-15.18;13.86;5.0;;;;NaN;;;;0 / 0;2507;2022-09-09 16:11:48:494
2.6004;1.1677;6.6517;1.5149;2.9623;9.225;-0.6661;-1.4346;-2.0245;-0.4901;-2.8608;-1.2956;33.4;31.95;-19.76;-9.69;242.8;-15.6;2.41;5.0;;;;NaN;;;;0 / 0;3008;2022-09-09 16:11:48:995
4.4776;3.2028;1.5033;8.9848;3.8558;0.7594;1.7008;-2.3998;3.7217;0.6092;-1.1943;-0.5188;16.7;22.07;-27.66;-47.89;240.02;-18.67;-76.77;5.0;;;;NaN;;;;0 / 0;3508;2022-09-09 16:11:49:495
5.9809;3.4325;0.4594;9.5245;2.2624;0.5799;-4.0234;0.5008;-0.3658;-0.1796;0.8416;-1.1051;10.7;-42.3;-39.77;-39.24;231.72;-13.34;-86.52;5.0;;;;NaN;;;;0 / 0;4007;2022-09-09 16:11:49:994
5.8277;2.2487;-0.7472;9.0511;2.6851;-2.6528;-0.1417;0.0647;-1.2451;-0.0373;0.4953;0.3307;8.3;-47.64;-45.88;-1.69;205.88;-15.89;-106.34;5.0;;;;NaN;;;;0 / 0;4507;2022-09-09 16:11:50:494
9.1627;1.8419;-1.8808;9.7662;0.5754;-0.6787;-1.3473;1.4786;-0.7601;-0.6098;0.3246;0.7672;10.7;-43.57;-24.77;20.64;145.38;-5.02;-98.36;5.0;;;;NaN;;;;0 / 0;5008;2022-09-09 16:11:50:995
6.6835;0.8506;0.1675;9.6368;1.2223;-1.3445;-0.0843;-0.943;-0.335;0.1888;0.5711;0.0405;9.5;-24.51;15.56;-4.74;335.99;-7.16;-97.94;5.0;;;;NaN;;;;0 / 0;5507;2022-09-09 16:11:51:494
8.709;-0.0173;0.8797;9.7411;-0.665;0.9163;2.5143;-0.4432;0.463;-0.2833;-0.461;-0.5561;11.0;-7.63;22.54;-45.51;296.15;3.89;-84.63;5.0;;;;NaN;;;;0 / 0;6008;2022-09-09 16:11:51:995
7.622;0.8231;0.0129;9.7151;1.2933;0.3384;2.3979;-1.6307;-2.1016;-0.3712;0.896;0.0421;12.3;-17.98;6.49;-72.47;276.91;-7.58;-88.0;5.0;;;;NaN;;;;0 / 0;6508;2022-09-09 16:11:52:495
12.2055;-1.3675;0.317;9.7781;-0.3407;0.6662;3.0378;-0.8097;0.3969;-0.2682;0.1354;0.5561;12.3;-16.56;-5.72;-71.94;265.87;-2.54;-88.72;5.0;;;;NaN;;;;0 / 0;7008;2022-09-09 16:11:52:995
9.3912;0.6494;-0.6754;9.7768;0.7622;0.0589;-1.9988;-0.1617;-0.7045;-0.5991;-0.1184;0.1218;12.3;-17.18;0.32;-68.19;271.14;-4.46;-89.65;5.0;;;;NaN;;;;0 / 0;7507;2022-09-09 16:11:53:494
8.0746;0.3263;1.3298;9.725;0.0692;1.2612;-1.419;0.4535;-0.1894;-0.1884;0.1507;-0.3457;13.7;-9.24;6.3;-81.41;274.43;-0.4;-82.61;5.0;;;;NaN;;;;0 / 0;8007;2022-09-09 16:11:53:994
7.7022;-0.7164;-0.1295;9.5967;-0.6293;1.9178;1.0538;-2.2773;-1.4965;-0.3928;0.4802;-0.897;28.2;-23.57;9.96;-66.04;277.25;3.68;-78.7;5.0;;;;NaN;;;;0 / 0;8507;2022-09-09 16:11:54:494
11.9016;-0.6709;3.9464;9.7625;-0.1192;0.9213;-0.4113;2.0275;0.864;-1.8047;0.4386;0.6617;44.4;-46.67;28.11;-54.58;300.64;-3.29;-86.52;5.0;;;;NaN;;;;0 / 0;9007;2022-09-09 16:11:54:994
10.1575;1.1701;-0.2073;9.7316;0.2207;1.1908;0.0609;1.5008;-2.1757;-3.0078;0.8576;2.0129;30.8;-55.01;31.65;-49.29;308.85;-8.22;-90.08;5.0;;;;NaN;;;;0 / 0;9508;2022-09-09 16:11:55:495
