sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.2886;3.3015;9.3368;-1.1001;4.1621;8.8112;0.3908;-0.6938;0.4361;-0.1339;-0.1141;0.1604;97.8;42.02;-15.06;-19.01;265.1;-25.11;7.12;5.0;35.958256;-83.92469;;NaN;;794.83875;;0 / 5;4;2022-11-09 17:13:23:508
-0.5022;3.4469;8.4449;-0.8828;4.0915;8.8685;0.0114;-0.1944;-0.2488;0.0385;0.1053;-0.0186;76.8;35.14;-9.53;-20.27;270.85;-24.44;5.38;5.0;35.958256;-83.92469;;NaN;;794.83875;;0 / 6;504;2022-11-09 17:13:24:008
-1.2948;3.7798;8.7203;-1.0707;3.4447;9.1191;0.2819;0.6716;-0.7907;-0.0095;0.0605;-0.002;66.1;35.18;-8.85;-19.65;270.85;-21.5;7.06;5.0;35.958256;-83.92469;;NaN;;794.83875;;0 / 6;1004;2022-11-09 17:13:24:508
-2.3148;2.5277;11.3345;-0.9647;3.4046;9.1459;-0.1093;0.5325;1.0069;-0.3112;-0.2167;-0.2268;66.1;39.15;-6.84;-18.24;271.66;-20.31;6.02;5.0;35.958256;-83.92469;;NaN;;794.83875;;0 / 7;1505;2022-11-09 17:13:25:009
-0.9021;2.7861;8.2176;-0.8628;3.2895;9.1981;-0.0631;-0.0435;-1.4351;0.2853;0.0759;-0.0073;66.1;44.48;-4.71;-15.88;272.29;-19.01;4.94;5.0;35.95843;-83.9245;701.38;NaN;0.0;207.25357;;0 / 7;2004;2022-11-09 17:13:25:508
-0.7633;3.4612;7.5425;-1.3753;3.588;9.0225;0.6256;-0.3457;0.1664;0.1141;0.0995;0.0773;59.7;50.01;-5.81;-10.29;270.94;-21.46;8.67;5.0;35.95843;-83.9245;701.38;NaN;0.0;207.25357;;0 / 7;2505;2022-11-09 17:13:26:009
-1.4934;3.6553;9.7546;-1.2932;2.7021;9.3379;-0.1298;0.568;-0.0617;0.0342;0.1852;-0.0056;47.3;3.64;2.79;-67.97;12.34;-15.83;7.31;5.0;35.95843;-83.9245;701.38;NaN;0.0;207.25357;;0 / 7;3004;2022-11-09 17:13:26:508
-0.5668;3.2219;11.1096;-0.912;3.1582;9.2393;0.5345;-0.1615;1.6906;-1.0668;0.1919;-0.3232;34.8;-1.82;1.82;-69.75;17.91;-20.91;5.44;5.0;35.95843;-83.9245;701.38;NaN;0.0;207.25357;;1 / 7;3505;2022-11-09 17:13:27:009
-0.1816;3.0736;14.648;-0.02;2.7688;9.4076;-0.0264;-0.173;5.0058;-0.1745;-0.3292;-0.1235;26.5;-8.38;5.85;-70.67;17.53;-16.4;0.12;5.0;35.95843;-83.9245;701.38;NaN;0.0;207.25357;;1 / 7;4004;2022-11-09 17:13:27:508
-0.4615;3.9544;10.1877;-0.3912;3.7456;9.0547;-0.195;0.1233;0.8838;-0.0468;-0.3786;-0.2805;23.6;-13.29;1.35;-70.5;30.94;-22.22;2.69;5.0;35.95843;-83.9245;701.38;NaN;0.0;207.25357;;1 / 7;4505;2022-11-09 17:13:28:009
