sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.7426;3.8946;8.2223;-1.2762;4.2678;8.7366;-1.0067;-0.0431;-0.9755;-0.5298;-0.317;0.6832;195.2;-30.04;-22.71;-48.28;92.08;-27.11;10.25;5.0;35.958427;-83.92483;;NaN;;129.03226;;3 / 5;6;2022-11-11 14:49:59:201
-0.2964;3.5836;8.6964;-0.5151;3.5956;9.1092;-0.2977;0.324;-0.7607;-0.077;-0.3836;0.329;176.9;-43.16;-6.64;-50.64;77.44;-21.36;5.18;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 1;505;2022-11-11 14:49:59:700
-0.1346;3.0742;7.5141;-0.1577;3.4518;9.1777;0.2018;0.1765;-1.4775;-0.1371;-0.6396;-0.2813;153.5;-46.76;-2.77;-46.67;75.25;-20.72;2.85;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 1;1005;2022-11-11 14:50:00:200
0.8306;2.6501;7.5808;0.4851;3.2527;9.2388;0.0564;-0.0924;-1.6755;0.4643;-0.2628;-0.2982;111.6;-46.37;2.23;-40.41;70.02;-19.37;-3.01;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 2;1506;2022-11-11 14:50:00:701
0.9314;2.8352;9.2432;1.0093;3.2777;9.1874;-0.2865;-0.8261;0.1014;0.3297;-0.0027;0.4285;63.9;-44.32;6.45;-35.74;64.91;-18.79;-6.06;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 2;2005;2022-11-11 14:50:01:200
1.0044;1.7868;10.4692;0.9714;3.1394;9.2396;0.0428;-1.3479;1.3014;0.642;-0.4388;-0.7193;27.3;-39.56;1.59;-1.09;85.36;-16.25;-5.26;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 4;2506;2022-11-11 14:50:01:701
1.8341;2.971;6.804;1.4699;3.1126;9.1827;-0.0968;-0.2203;-1.5371;0.201;-0.5178;0.3502;23.5;-33.84;1.11;13.99;93.4;-17.8;-6.59;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 4;3005;2022-11-11 14:50:02:200
0.6365;2.6611;8.7242;1.3062;2.9678;9.2551;-0.1091;-0.2229;-2.141;0.3596;0.0874;-0.2022;23.9;-31.05;10.61;10.91;75.23;-17.62;-8.03;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 4;3506;2022-11-11 14:50:02:701
1.4617;2.5585;9.4304;0.8464;2.6001;9.4177;-0.0374;0.4363;0.0355;0.0887;-0.0708;0.4539;21.9;-32.34;13.84;8.33;69.56;-15.37;-5.14;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 4;4005;2022-11-11 14:50:03:200
0.4819;2.6662;8.3614;1.7816;3.3435;9.0453;-1.3104;-0.64;-0.6904;0.6757;0.0015;-0.5357;24.5;-36.94;15.04;7.03;68.81;-16.48;-11.84;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 4;4505;2022-11-11 14:50:03:700
0.2312;2.2481;8.0719;0.8252;2.8522;9.3463;-0.7901;-1.4478;-1.6446;0.2701;-0.0643;0.9587;21.1;-40.84;15.13;6.73;72.26;-16.16;-3.88;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 4;5005;2022-11-11 14:50:04:200
1.1668;2.4326;10.858;1.3276;2.8195;9.2983;-2.1768;0.2533;-1.2181;0.3528;6.0E-4;0.9648;30.7;-37.01;21.09;8.64;63.31;-16.71;-8.13;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 4;5506;2022-11-11 14:50:04:701
2.5472;2.3614;8.0569;1.9836;2.421;9.2938;-1.5633;-0.0458;-1.7084;0.1732;-0.0266;1.6113;34.3;-26.46;25.82;15.17;51.26;-14.29;-12.05;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 4;6006;2022-11-11 14:50:05:201
2.0195;2.2986;7.4339;2.1495;2.0626;9.3432;-0.1131;0.2427;-1.898;-0.1969;0.2152;0.843;39.3;23.01;15.51;-19.58;305.08;-13.03;-12.71;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 4;6506;2022-11-11 14:50:05:701
1.9986;2.712;9.1726;1.8457;3.4514;8.9917;-0.2415;-0.4586;1.7575;0.2913;0.0234;-0.1037;39.2;33.24;5.91;-16.14;283.39;-19.17;-12.32;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 4;7005;2022-11-11 14:50:06:200
2.3255;2.7048;9.4528;2.7659;2.1697;9.1549;0.0596;-0.7723;2.1992;0.2524;0.5008;0.4151;35.4;35.96;-6.09;-9.58;260.82;-12.78;-16.81;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 4;7505;2022-11-11 14:50:06:700
3.743;2.1317;9.367;3.0373;2.8914;8.8648;-0.2249;0.252;1.7297;-0.2605;1.0222;1.2036;35.4;31.59;-11.77;-7.46;249.11;-19.2;-18.23;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 4;8005;2022-11-11 14:50:07:200
1.9307;2.7488;10.6053;2.929;2.7857;8.9348;-1.0736;-0.3224;1.5884;0.0512;-0.0371;0.5082;43.7;11.94;-18.22;-8.36;220.94;-17.44;-17.86;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 4;8506;2022-11-11 14:50:07:701
2.2104;2.9785;7.5063;2.0135;3.1239;9.0751;0.567;-0.5817;-1.3111;0.3853;-0.1377;-0.7975;43.7;1.73;-22.76;-4.87;188.37;-16.51;-12.83;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 4;9006;2022-11-11 14:50:08:201
1.4545;2.7401;7.4426;1.5262;2.889;9.2464;0.2543;-0.0603;-1.7222;0.3852;0.3037;-0.1271;36.0;3.28;-23.91;-3.02;188.83;-17.13;-9.37;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 5;9505;2022-11-11 14:50:08:700
1.13;3.0631;7.4109;1.0172;3.1993;9.2141;-0.2849;0.8737;-2.7925;0.361;-0.0855;-0.2922;36.0;8.42;-21.73;-2.06;201.79;-19.06;-5.38;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 5;10006;2022-11-11 14:50:09:201
-0.2797;3.364;7.107;-0.2297;3.9883;8.9561;0.2263;-0.4485;-2.4829;0.3747;-0.0219;0.3288;27.9;18.9;-18.79;-0.28;227.9;-24.0;1.47;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 5;10505;2022-11-11 14:50:09:700
-0.1857;3.6532;8.0886;-0.1458;3.6321;9.1081;0.0016;0.5299;-0.949;0.0813;0.0035;-0.0864;21.3;26.79;-15.13;-0.99;243.4;-20.84;0.91;5.0;35.958427;-83.92483;;NaN;;129.03226;;0 / 5;11005;2022-11-11 14:50:10:200
-0.4262;1.8661;5.7993;0.1874;3.2997;9.2329;-0.6722;-1.2498;-2.9514;0.2894;-0.1646;0.1173;24.5;25.05;-11.64;-9.45;251.17;-18.93;-1.06;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;0 / 6;11505;2022-11-11 14:50:10:700
0.8506;1.8832;8.8131;0.5977;3.5678;9.1151;-0.0715;-1.2301;-1.6766;-0.8192;0.2014;0.3037;28.3;12.73;-14.91;-14.66;238.25;-21.99;-3.54;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;0 / 6;12005;2022-11-11 14:50:11:200
-0.2997;3.3006;10.7853;-0.1258;2.8154;9.393;-0.2211;1.1627;1.3371;-0.0964;0.2333;0.2754;35.6;1.11;-17.18;-17.21;183.88;-16.68;0.77;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;12505;2022-11-11 14:50:11:700
-0.4026;4.468;8.9243;0.1687;3.2665;9.2451;0.725;1.1167;-1.6192;0.1668;0.3447;0.492;33.7;-8.78;-12.99;-25.28;114.19;-19.45;-0.74;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;13006;2022-11-11 14:50:12:201
0.1908;3.9879;7.1064;0.6492;3.0204;9.3073;-0.0676;0.1751;-1.656;0.2593;0.3195;0.1862;54.2;-47.25;-1.56;-43.09;73.96;-17.74;-4.97;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;13506;2022-11-11 14:50:12:701
0.6365;0.8746;9.8184;1.3367;2.8651;9.283;-0.6225;-0.8147;-1.7231;0.2839;-0.0162;0.6685;70.6;-57.3;-8.49;-32.79;85.07;-16.84;-9.14;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;14005;2022-11-11 14:50:13:200
1.7342;1.4103;11.3031;2.9923;3.0041;8.8426;-0.4755;0.8323;0.6501;0.0672;0.6227;1.2206;79.5;-62.7;-9.94;-21.39;87.02;-17.84;-18.7;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;14505;2022-11-11 14:50:13:700
1.78;2.8615;10.5069;2.1477;2.6155;9.2042;-0.3892;-0.3717;1.2808;0.3403;-0.2347;0.7568;66.8;-39.15;-2.72;-20.57;82.57;-14.93;-11.65;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;15006;2022-11-11 14:50:14:201
0.5046;1.8691;6.6482;0.411;2.759;9.4016;-0.6009;-0.7563;-3.5834;0.3123;0.6517;1.165;94.9;5.4;1.67;-18.6;319.14;-15.9;-3.31;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;15505;2022-11-11 14:50:14:700
1.0382;2.5612;4.7001;1.1771;2.3944;9.4367;-0.6922;-0.4989;-2.3236;0.2394;-0.8551;-0.0786;107.3;17.29;1.46;-15.15;281.79;-12.68;-6.03;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;16006;2022-11-11 14:50:15:201
1.0152;1.3035;9.2758;1.0084;2.2237;9.4978;0.3637;-0.6757;-0.6342;0.59;-0.284;0.0196;92.2;19.52;0.19;-9.73;274.85;-13.11;-6.06;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;16506;2022-11-11 14:50:15:701
0.3039;2.6028;8.4739;0.6246;3.5575;9.1173;-0.183;-0.7359;-0.725;0.4254;0.1003;-0.3399;56.8;21.98;0.04;-9.15;276.03;-19.58;-4.76;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;17005;2022-11-11 14:50:16:200
0.2243;3.5399;7.7931;-0.3691;3.2287;9.2525;0.9159;-0.4358;-2.3247;0.2822;0.5385;0.2093;36.4;24.47;2.25;-13.89;284.84;-17.77;0.93;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;17506;2022-11-11 14:50:16:701
-0.198;2.572;7.5604;0.2269;3.2516;9.2491;-1.4578;0.357;-1.4642;0.0944;0.2969;-0.1099;25.3;25.67;1.05;-21.06;285.77;-17.5;0.31;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;18005;2022-11-11 14:50:17:200
1.226;3.0814;8.6094;-0.0011;3.124;9.2957;1.5578;0.9303;-0.8619;0.3024;0.2767;0.0665;25.3;20.18;0.83;-29.92;297.72;-18.58;0.01;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;18505;2022-11-11 14:50:17:700
0.0921;3.9978;7.0579;0.4581;3.1857;9.2635;-0.5598;1.4207;-2.7337;0.0717;-0.131;-0.1607;24.1;15.17;-1.22;-35.93;301.82;-18.14;-2.01;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;19005;2022-11-11 14:50:18:200
1.4498;3.1831;9.032;0.4154;2.8575;9.3719;1.0244;0.3842;-0.3174;0.3518;0.4747;0.468;19.3;6.3;-2.55;-37.99;307.68;-14.22;-3.32;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;19505;2022-11-11 14:50:18:700
-0.2168;3.1053;7.0759;0.4131;2.9796;9.3339;-0.2404;0.5064;-2.424;0.4832;0.1038;0.1465;22.2;7.07;-1.8;-37.91;313.14;-16.13;-3.16;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;20005;2022-11-11 14:50:19:200
1.1145;3.4319;5.9489;1.4326;2.7754;9.296;-0.0172;1.3627;0.0687;0.1692;0.21;0.6347;25.6;2.44;0.11;-41.38;324.16;-16.44;-8.76;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;20506;2022-11-11 14:50:19:701
-0.0508;4.567;4.8153;1.5084;3.3887;9.0781;-2.0986;0.1235;0.9896;0.0836;-0.1827;0.5418;37.0;-8.74;-0.45;-54.43;0.08;-20.22;-9.43;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;21005;2022-11-11 14:50:20:200
0.4062;1.9932;8.0746;2.2249;3.5808;8.8543;-1.8661;-1.6072;-0.8963;0.208;0.9102;0.4665;43.6;-8.66;-17.62;-48.28;289.39;-21.77;-15.1;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;21506;2022-11-11 14:50:20:701
4.1435;5.2337;10.354;2.3419;3.3762;8.9043;1.3152;0.8974;0.8223;-0.6745;0.6011;0.9554;49.1;-10.12;-26.83;-40.74;187.6;-21.76;-15.42;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;3 / 6;22005;2022-11-11 14:50:21:200
2.6073;3.7313;10.6786;3.1036;3.3492;8.6788;-0.4925;0.127;2.6061;0.0854;0.1913;0.4998;51.8;-24.75;-26.01;-37.84;131.0;-19.97;-19.68;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;0 / 6;22505;2022-11-11 14:50:21:700
1.9478;3.3942;9.7005;2.6337;2.7148;9.0479;0.9483;-0.1798;2.148;0.4494;0.0043;1.7721;40.4;-26.79;-33.39;-33.13;141.31;-16.07;-16.23;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;0 / 6;23006;2022-11-11 14:50:22:201
4.014;2.8795;12.1292;1.2794;3.3067;9.1433;2.6911;-0.4957;2.9793;1.0328;-0.3719;-1.3686;40.4;-10.69;-18.32;-34.56;128.74;-18.73;-6.73;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;0 / 6;23506;2022-11-11 14:50:22:701
0.4002;2.6824;7.6277;1.2131;3.7232;8.9909;-0.7255;-1.3764;-1.5891;0.1278;0.3577;1.0167;40.4;0.02;-28.13;-35.16;200.61;-22.29;-7.88;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;0 / 6;24005;2022-11-11 14:50:23:200
1.552;2.2095;7.0941;1.7262;2.3841;9.3545;-0.3549;-0.0893;-1.8392;0.0285;-0.4054;-0.2937;40.4;1.56;-24.56;-34.84;207.51;-14.07;-10.46;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;0 / 6;24505;2022-11-11 14:50:23:700
0.5515;2.5403;6.8088;1.7151;2.5679;9.3078;0.2825;-0.176;-2.6433;0.2592;0.3359;-0.4378;35.7;8.96;-22.65;-32.32;225.15;-13.35;-12.46;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;0 / 6;25006;2022-11-11 14:50:24:201
1.0983;1.7163;8.3447;1.531;2.8539;9.2564;-0.3465;-1.2242;-0.7289;0.7612;-0.0742;-0.5307;31.4;19.26;-16.56;-34.2;247.71;-12.67;-9.0;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;0 / 6;25505;2022-11-11 14:50:24:700
0.8593;3.0526;7.7447;1.0065;2.5977;9.4026;0.67;-0.3515;-0.6176;0.6724;0.3419;-0.1158;28.1;15.36;-10.33;-42.11;266.92;-12.61;-7.54;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;0 / 6;26005;2022-11-11 14:50:25:200
1.9693;2.1936;7.3167;1.5294;3.6791;8.9608;0.715;-1.4218;-1.6919;0.7666;-0.1039;-1.157;23.7;-0.58;-13.76;-48.11;281.31;-18.36;-10.88;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;0 / 6;26505;2022-11-11 14:50:25:700
0.4588;4.9657;11.1293;1.4613;3.3947;9.0835;-0.5941;-0.6528;0.8578;-1.0406;-0.1802;0.6282;32.4;-10.78;-25.67;-45.58;151.41;-21.75;-9.04;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;0 / 6;27006;2022-11-11 14:50:26:201
2.1455;3.2791;9.1496;0.6934;2.7373;9.3913;1.4155;-1.0815;3.4275;-0.2016;0.4616;0.7681;37.8;-18.68;-28.86;-38.61;132.96;-18.5;-4.66;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;0 / 6;27505;2022-11-11 14:50:26:700
0.1534;3.6497;9.3341;1.4219;1.804;9.5338;-0.9181;1.8884;0.0705;-0.3993;-0.2228;-0.2194;44.6;-16.29;-32.89;-33.68;156.88;-10.82;-8.25;5.0;35.958435;-83.92475;656.94;NaN;0.0;210.30008;;0 / 6;28005;2022-11-11 14:50:27:200
