sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.3718;2.6536;10.3633;-0.3535;2.374;9.5084;-0.213;-0.0174;0.3581;0.0594;0.3048;0.6647;120.4;-28.03;-11.55;-56.7;86.4;-14.01;2.13;5.0;35.958042;-83.92461;;NaN;;129.03226;;0 / 7;11;2022-11-11 15:44:52:648
-0.7307;2.0145;7.6289;-0.5985;2.0472;9.5719;-0.2373;0.0705;-1.6931;0.1097;0.1206;0.5751;138.9;-16.65;-5.61;-56.06;76.32;-11.43;3.57;5.0;35.958042;-83.92461;;NaN;;129.03226;;0 / 7;511;2022-11-11 15:44:53:148
0.0709;1.9451;5.5376;0.2297;2.1291;9.57;-0.7827;0.2655;0.4516;0.4591;-1.5197;-0.0916;159.9;-3.73;-3.24;-48.94;20.07;-12.54;-1.37;5.0;35.958042;-83.92461;;NaN;;129.03226;;0 / 7;1011;2022-11-11 15:44:53:648
-1.5727;2.2537;11.1891;-0.0323;1.8817;9.6244;-1.3888;-0.5447;0.8514;1.0042;0.3189;0.7316;109.0;1.99;4.73;-44.21;4.05;-9.51;3.73;5.0;35.958042;-83.92461;;NaN;;129.03226;;0 / 7;1510;2022-11-11 15:44:54:147
0.1346;2.7401;6.9281;-0.5546;2.1225;9.5581;0.5757;-0.4455;0.1149;0.217;0.7833;0.7399;56.8;-0.3;11.42;-44.32;2.32;-11.63;1.03;5.0;35.958206;-83.92456;782.03;NaN;0.0;152.38783;;0 / 7;2011;2022-11-11 15:44:54:648
-1.7246;2.1855;8.889;-1.1522;2.1325;9.5024;-0.3192;0.6394;-0.7864;-0.0959;0.1479;-0.2491;41.9;-3.99;9.45;-47.55;25.61;-12.5;6.15;5.0;35.958206;-83.92456;782.03;NaN;0.0;152.38783;;0 / 7;2511;2022-11-11 15:44:55:148
0.3458;2.3937;8.4712;-1.1943;2.1635;9.4902;1.167;0.2963;-2.0172;0.2553;-0.3994;0.429;29.3;-8.44;9.73;-49.89;34.7;-12.75;7.17;5.0;35.958206;-83.92456;782.03;NaN;0.0;152.38783;;6 / 7;3010;2022-11-11 15:44:55:647
-0.3108;1.7809;7.8766;-0.3663;1.816;9.6301;0.0893;0.0143;-1.918;-0.091;-0.252;-0.3711;19.9;-11.61;12.81;-49.99;32.24;-10.84;2.22;5.0;35.958206;-83.92456;782.03;NaN;0.0;152.38783;;6 / 7;3512;2022-11-11 15:44:56:149
-1.2849;1.6044;7.7408;-1.7927;1.4353;9.534;1.2217;-0.0639;-1.4623;-0.1568;0.4322;0.3473;15.8;-11.92;15.75;-50.93;41.06;-8.75;9.42;5.0;35.958206;-83.92456;782.03;NaN;0.0;152.38783;;6 / 7;4010;2022-11-11 15:44:56:647
-1.1073;0.5931;9.5288;-0.3907;0.5887;9.7812;-0.7319;0.2148;0.5354;0.3047;-0.0447;0.2454;17.9;-16.69;20.36;-51.22;41.89;-1.9;2.74;5.0;35.958206;-83.92456;782.03;NaN;0.0;152.38783;;6 / 7;4511;2022-11-11 15:44:57:148
