sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-4.0433;2.6402;10.4919;-4.2201;0.2807;8.8478;0.2332;2.2724;3.2511;0.2249;0.7973;-0.1519;14.7;26.34;-18.26;-50.44;186.76;-1.64;25.5;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;5;2022-11-11 15:51:36:708
-3.5285;-1.3484;8.0716;-4.1548;0.1492;8.8818;-2.3935;-2.0039;0.1797;-0.3266;-1.5855;0.483;15.8;38.38;-4.59;-48.92;245.14;-1.3;30.6;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;506;2022-11-11 15:51:37:209
-3.0832;0.9763;12.242;-3.1475;0.9316;9.241;-1.0424;-0.0617;0.6764;0.136;-0.1778;-0.5536;18.2;33.54;-4.65;-48.19;271.3;-5.45;18.81;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;1006;2022-11-11 15:51:37:709
-1.6968;2.3934;9.0649;-1.6146;2.0355;9.4562;0.1602;-0.0775;-0.7394;0.2891;-0.0095;0.1565;18.2;29.46;-5.98;-46.07;279.38;-10.76;9.5;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;1506;2022-11-11 15:51:38:209
-0.0305;1.6442;13.3002;-1.2603;2.2795;9.4544;0.1318;0.4429;2.8616;-0.0588;0.0621;-0.0575;21.5;27.34;-0.86;-48.68;298.78;-13.44;7.59;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;2005;2022-11-11 15:51:38:708
-2.621;2.444;9.982;-1.56;2.5328;9.3446;-1.3418;-0.6952;1.4052;0.3092;-0.2792;0.4422;17.5;21.15;1.41;-57.15;325.48;-13.4;10.54;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;2506;2022-11-11 15:51:39:209
-1.6801;2.5564;11.2914;-1.7059;2.7336;9.2622;-0.413;0.604;3.8407;-0.2794;0.1507;-0.1967;17.5;11.83;-6.09;-59.81;355.28;-16.19;10.44;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;3005;2022-11-11 15:51:39:708
-1.7258;1.7518;12.0051;-2.2805;2.8199;9.1114;0.4637;-1.3113;-1.219;0.3014;-0.3905;-0.0685;17.1;10.89;-8.4;-60.71;22.25;-16.71;14.05;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;3506;2022-11-11 15:51:40:209
-2.1685;3.9449;11.4329;-0.9857;2.9833;9.2897;-0.966;0.4348;0.5786;-0.3431;0.5175;-0.3031;23.7;3.11;-9.9;-52.41;21.67;-17.71;6.06;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;4006;2022-11-11 15:51:40:709
-1.8263;1.783;12.606;-1.7026;3.024;9.1721;-1.1515;-1.1025;1.9828;-0.104;-0.2829;1.0159;31.1;11.03;-14.74;-47.21;317.02;-17.79;12.66;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;4505;2022-11-11 15:51:41:208
-1.0313;2.5397;10.8177;-0.9082;3.4735;9.1258;-1.2608;-0.156;0.5377;0.4132;0.1926;1.7398;31.1;4.78;-20.62;-39.0;191.02;-20.74;5.68;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;5006;2022-11-11 15:51:41:709
-1.424;3.4684;9.6012;-0.2054;2.9046;9.3644;-0.5931;-0.584;0.371;0.3519;0.1368;0.8398;71.4;-7.46;-23.61;-35.34;148.36;-17.23;1.26;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;5505;2022-11-11 15:51:42:208
-1.733;2.0943;10.887;-0.3754;2.6845;9.4246;-1.3516;-0.6796;-0.5387;-0.41;-0.0421;0.7799;85.8;-11.74;-15.06;-41.12;103.79;-15.89;2.28;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;6005;2022-11-11 15:51:42:708
-2.5181;1.5078;9.9556;-0.8615;2.1484;9.5296;-2.079;0.3217;-1.8227;-0.4022;0.0974;0.9833;122.0;-11.16;-8.03;-45.04;80.26;-13.72;5.43;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;6505;2022-11-11 15:51:43:208
-0.2701;0.4232;9.5246;-0.3552;2.3365;9.5176;0.4156;-1.0;-0.4941;-0.2324;-0.378;0.2351;135.9;-2.53;1.11;-41.81;22.64;-13.78;2.14;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;7005;2022-11-11 15:51:43:708
-0.1433;1.2733;11.9836;-1.2019;2.6443;9.3666;0.2615;0.6429;2.1612;-0.5739;0.1997;-0.7081;135.9;6.51;2.1;-35.46;347.82;-15.64;7.31;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;7506;2022-11-11 15:51:44:209
-1.6825;2.4775;10.7001;-1.3985;2.6487;9.338;-0.6221;-0.2784;2.3285;-0.9099;0.1749;0.0295;135.9;13.09;0.75;-27.73;319.46;-18.89;7.98;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;8005;2022-11-11 15:51:44:708
-1.922;2.1135;11.6243;-0.1613;2.7669;9.4068;1.0317;0.2311;4.3335;-1.0589;-0.8938;-0.3164;78.9;9.13;-3.11;-21.3;301.6;-20.33;3.78;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;8506;2022-11-11 15:51:45:209
0.2925;1.3714;14.1308;-0.4208;2.577;9.4526;-0.1848;-0.0816;3.0083;-0.5459;-1.1145;-0.3688;28.7;0.0;-0.08;-18.75;9.62;-15.24;2.55;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;9005;2022-11-11 15:51:45:708
-0.8064;0.6266;14.8469;-0.5997;2.3597;9.4996;-0.6385;1.4654;1.7477;-1.2441;-0.1484;-0.7462;19.5;-6.02;1.24;-16.48;55.98;-13.92;3.61;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;9506;2022-11-11 15:51:46:209
0.3045;1.3355;11.8971;0.2144;2.3527;9.5178;0.5572;-0.2473;1.7135;-0.6554;-0.2604;-0.3977;14.9;-9.06;5.34;-17.87;42.56;-15.95;-0.12;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;10005;2022-11-11 15:51:46:708
-0.8136;1.1366;12.1152;-0.3407;1.9667;9.6014;-0.3121;0.4725;2.1381;-0.8041;0.0307;-0.0868;12.9;-12.58;8.85;-18.34;45.88;-14.84;1.95;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;10506;2022-11-11 15:51:47:209
-0.3491;2.0895;10.7527;-0.2146;2.9666;9.3447;-0.0197;-0.5621;4.0546;-0.1536;-0.7425;-0.2659;13.0;-13.29;14.04;-23.27;33.79;-17.61;1.32;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;11005;2022-11-11 15:51:47:708
-0.7442;0.9906;13.2595;-0.3952;2.3084;9.5229;0.9673;-0.5215;1.5707;-0.8415;-0.4316;-0.3393;15.7;-17.21;15.51;-22.26;40.28;-17.02;3.15;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;11505;2022-11-11 15:51:48:208
-0.4998;-1.3603;12.6467;-0.748;0.0827;9.7777;0.8503;-1.5077;3.912;-0.498;-1.0599;0.1335;15.7;-18.75;23.85;-24.77;41.81;-2.5;8.04;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;12005;2022-11-11 15:51:48:708
0.1322;-0.2423;12.661;-0.3998;1.1254;9.7337;-0.4108;-1.6056;4.5549;0.3784;0.3584;0.871;32.2;-20.91;30.47;-25.09;34.2;-4.81;1.63;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;12506;2022-11-11 15:51:49:209
-0.3802;1.9268;9.9293;0.9465;2.9395;9.3077;-2.942;-2.0527;7.1095;-0.0026;0.1561;2.1144;49.2;-5.76;25.31;-38.66;3.25;-17.44;-5.81;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;13005;2022-11-11 15:51:49:708
-0.8877;0.4711;10.8751;-0.1933;1.7151;9.6536;1.3208;0.189;0.886;-0.9629;0.5414;-0.5162;49.8;11.85;17.46;-39.9;334.4;-14.06;-0.77;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;13506;2022-11-11 15:51:50:209
-1.0074;0.4017;13.8676;0.0778;1.7126;9.6556;-1.5002;0.2338;1.5148;0.1671;-0.0583;1.3911;47.0;16.07;9.9;-37.73;315.27;-10.06;-0.46;5.0;35.95869;-83.923744;818.55;NaN;0.0;228.22653;;0 / 3;14005;2022-11-11 15:51:50:708
