time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1667776735252813300,0.039813232421875,-1.6071634888532371,0.11608582016582336,-0.7094788950036767,-0.04897635110747148,0.6775970163922402,-0.15500367784879024,0.3868385722887586
1667776735262865400,0.049865478515625,-1.6016379417095612,0.11745898454237434,-0.7074339880005635,-0.04955608305136294,0.6792551609082275,-0.15605436082284818,0.39019153492359776
1667776735272916200,0.059916259765625,-1.594831960565611,0.1179383805840903,-0.7051214803051392,-0.05133803698464587,0.6813908819481196,-0.1568463890955778,0.391868334906397
1667776735282967300,0.06996728515625,-1.586934321216413,0.11741578652235157,-0.7026177582133954,-0.05421584682093933,0.6839735033199686,-0.15723285256245437,0.3914917908874036
1667776735293018400,0.080018310546875,-1.5782371580164052,0.11577903629628458,-0.7000268995786991,-0.05835788239055475,0.6868927292348941,-0.1572766793936134,0.3889870882167127
1667776735303070200,0.0900703125,-1.5691884070666375,0.1133081016350352,-0.6974353628168191,-0.06322406819045552,0.690005186052482,-0.15696505819010362,0.38473370335025736
1667776735313121300,0.100121337890625,-1.5600741032447387,0.11055601055580629,-0.6948367359849437,-0.06806521819738603,0.6931984440164373,-0.1563813358732239,0.37964794236983923
1667776735323172400,0.11017236328125,-1.5509263523013288,0.10802066668751517,-0.69216121381526,-0.07260112286974602,0.6963920956304291,-0.15582819121896094,0.37488544980463523
1667776735333223400,0.120223388671875,-1.5416648704244131,0.10598339747746859,-0.6893453965889387,-0.0770707197909666,0.6995144291344937,-0.15572363723541627,0.3714517713112059
1667776735343275300,0.130275146484375,-1.532488930907485,0.10455404741938236,-0.6864512062345011,-0.0818006788722534,0.7024177913719198,-0.15640455155484967,0.3699935648438478
1667776735353326300,0.140326416015625,-1.5238529368819498,0.10363968212539472,-0.6836590212986827,-0.08720920813155553,0.7048920336882877,-0.15810239727924785,0.3707191622072152
1667776735363377400,0.15037744140625,-1.5163305347366332,0.1029002082869572,-0.6812240483514429,-0.09379019355663229,0.7067262626715268,-0.16088324590371175,0.37324575868713133
1667776735373428200,0.16042822265625,-1.5093663260421264,0.10241518948949932,-0.6789473109644962,-0.10070079948995858,0.7082293931438354,-0.16417362218965836,0.376854337593954
1667776735383480300,0.170480224609375,-1.5019072275478502,0.10229904158741762,-0.6764423500428611,-0.10634291463019933,0.7100095269407254,-0.1668745866224292,0.38011650753470455
1667776735393531400,0.180531494140625,-1.4940539390231897,0.10262790284527877,-0.6737130550574812,-0.10875609119994104,0.7123414844414706,-0.16777322492701396,0.38145819548422655
1667776735403582200,0.190582275390625,-1.4820025171372666,0.10377394339757397,-0.6693753291945159,-0.10728900345061616,0.7165953674143289,-0.166308975273567,0.38048852856799037
1667776735413633300,0.20063330078125,-1.4706872674278388,0.1056035069241471,-0.665130624724258,-0.10151309776943479,0.7210894579698568,-0.16272393033248836,0.37767948236244814
1667776735423685400,0.210685302734375,-1.4610649644521712,0.10811020719293257,-0.661309784823074,-0.09158700994798157,0.7254345387421391,-0.15724629019175979,0.37345104650508354
1667776735433736400,0.220736328125,-1.4539489369382244,0.11117649601379477,-0.6582223398416504,-0.07812472276207422,0.7292472573764046,-0.15027205941664945,0.3682412713438623
1667776735443787300,0.230787353515625,-1.4492319334642536,0.11468126025307335,-0.655859986455,-0.06185771160052528,0.7324546636958968,-0.14214823087434128,0.36233257381249684
1667776735453838300,0.24083837890625,-1.4470588479180067,0.11841843944712765,-0.6543221902298262,-0.04386068794377768,0.7348770520520745,-0.13339886857871397,0.35609584026713537
1667776735463890400,0.250890380859375,-1.4460974378994975,0.12189452525514756,-0.6532394857391889,-0.026401148735066222,0.7367622517545211,-0.12490542589883692,0.3498968210789725
1667776735473941200,0.260941162109375,-1.4455791321895666,0.12436389867569556,-0.6525060803059938,-0.013177519003881767,0.7380810966640018,-0.11834600421995113,0.344816793153275
1667776735483992300,0.270992431640625,-1.4444115818190908,0.12602408739740872,-0.6517406064270764,-0.006287877119116106,0.7389803406200686,-0.1151529276906692,0.3430472238757815
1667776735494043400,0.28104345703125,-1.4424961487505423,0.12766362018018773,-0.6507740370779008,-0.004305030564999646,0.7395625789763892,-0.11507548856519148,0.3454357862760852
1667776735504095200,0.29109521484375,-1.4392072594906102,0.13017054713863313,-0.6492100076352214,-0.004669377583003286,0.7401768347178787,-0.11713355210486158,0.3520118568127985
1667776735514146300,0.301146240234375,-1.433837695803836,0.1340616599155187,-0.6466780026698611,-0.005360194986140041,0.7411822026745838,-0.12034945572811874,0.36225408130009723
1667776735524197400,0.311197265625,-1.42393894651344,0.13880000595886077,-0.6423178858652852,-0.003685941828172467,0.7437986785712223,-0.12217106708765718,0.3719404075612892
1667776735534248400,0.32124853515625,-1.4092615858279625,0.14275150501682984,-0.6362545595235762,0.0012849805752063468,0.7485127347799686,-0.12054392437839966,0.37588499683761223
1667776735544300300,0.33130029296875,-1.3930312410529213,0.1451548384111672,-0.6297870656366197,0.007893741465774458,0.7541631957910471,-0.11634466396207137,0.3741544447935543
1667776735554351400,0.341351318359375,-1.3785409356859915,0.1466508225049803,-0.6240128524737807,0.016101167411550314,0.7595187190962956,-0.11060162662614648,0.3691274184544053
1667776735564402400,0.35140234375,-1.3668845719521352,0.1475468612785032,-0.6193373825999794,0.024391996500845333,0.7639970248395489,-0.10468806420878063,0.3630479822690771
1667776735574453200,0.361453369140625,-1.3593213364638466,0.14784561851979505,-0.6162856063015418,0.031566966815915656,0.7670935259758496,-0.09950453172624059,0.357004582073441
