time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1667776720521086000,-14.6919140625,240.22889137268066,-1,-1,35.94863785966225,271.6388912200928,-1,53,24.405452728271484,-83.9347676493265,-1
1667776729521086000,-5.6919140625,240.22889137268066,-1,-1,35.94863785966225,271.6388912200928,-1,53,24.405452728271484,-83.9347676493265,-1
1667776735271793000,0.05879296875,240.2252960205078,-1,-1,35.94837375386586,272.1013488769531,-1,307.1957954779917,30.689376831054688,-83.93452018884855,-1
1667776735646071000,0.433071044921875,241.1972999572754,-1,-1,35.94888845616284,273.06988525390625,-1,62,21.583974838256836,-83.93463304301567,-1
1667776737242969000,2.029968994140625,241.48654556274414,-1,-1,35.94889939817301,273.359130859375,-1,45.752,18.661592483520508,-83.93463133853292,-1
1667776743254383000,8.041383056640624,241.4865016937256,-1,-1,35.94892848419903,272.8965015411377,-1,159.37621211148146,22.567840576171875,-83.934611451311,-1
1667776743658124800,8.445124755859375,241.7291717529297,-1,-1,35.94908909172172,273.1391716003418,-1,45.752,18.3193302154541,-83.93459820633059,-1
1667776744922489000,9.709489013671876,241.85829162597656,-1,-1,35.94910066513901,273.2682914733887,-1,45.752,16.874248504638672,-83.93459488543145,-1
1667776756432101000,21.21910107421875,241.85822677612305,-1,-1,35.949220081106574,273.26822662353516,-1,45.752,30.373937606811523,-83.93447097362073,-1
1667776762847577000,27.6345771484375,242.02478790283203,-1,-1,35.94927931902134,273.43478775024414,-1,45.752,23.179439544677734,-83.93440476688788,-1
1667776764227144000,29.01414404296875,242.02473640441895,-1,-1,35.94933165031916,273.43473625183105,-1,45.752,23.179439544677734,-83.9343473637024,-1
1667776769922276900,34.70927685546875,242.02471160888672,-1,-1,35.94939338338415,273.4347114562988,-1,62.823852677868395,23.179439544677734,-83.93429412585579,-1
1667776771612289000,36.3992890625,242.0246810913086,-1,-1,35.949412589595276,273.4346809387207,-1,64.25740064065059,23.179439544677734,-83.93427326194914,-1
1667776775640157000,40.42715698242188,242.0248565673828,-1,-1,35.949431630254544,273.4348564147949,-1,72.27533402048078,23.179439544677734,-83.93424479274995,-1
1667776777880736800,42.66773681640625,242.02484130859375,-1,-1,35.94942944256334,273.43484115600586,-1,74.77902160363263,23.179439544677734,-83.93423558233665,-1
1667776783892755000,48.6797548828125,242.02484130859375,-1,-1,35.94943981706738,273.43484115600586,-1,91.523439375294,23.179439544677734,-83.93420728078733,-1
1667776784298399000,49.08539892578125,242.11724853515625,-1,-1,35.94921765560611,273.52724838256836,-1,75,18.612812042236328,-83.93424998833598,-1
1667776785498154200,50.285154296875,242.16445922851562,-1,-1,35.94914399681208,273.57445907592773,-1,75,16.96636199951172,-83.93426166715948,-1
1667776791927618000,56.7146181640625,239.467924118042,-1,-1,35.94869160464509,270.8779239654541,-1,52,19.837894439697266,-83.93420447455811,-1
1667776793267170000,58.05417016601562,238.2619915008545,-1,-1,35.94860429680908,269.6719913482666,-1,52,17.684293746948242,-83.93419678823417,-1
1667776811506267100,76.29326708984375,240.90811729431152,-1,-1,35.94892695540045,272.31811714172363,-1,81,23.65732765197754,-83.93432674589646,-1
1667776819131679000,83.91867895507812,240.90819358825684,-1,-1,35.94904871753003,272.31819343566895,-1,96.18316077502557,23.65732765197754,-83.9344277094326,-1
1667776825143012000,89.93001220703125,240.90819358825684,-1,-1,35.94911610133872,272.31819343566895,-1,106.80533401884169,23.65732765197754,-83.93451549379986,-1
1667776825687869200,90.474869140625,241.3971290588379,-1,-1,35.94912229300615,272.80712890625,-1,45.752,18.921607971191406,-83.9345658745767,-1
1667776826949200100,91.7362001953125,241.63971328735352,-1,-1,35.94912949806607,273.0497131347656,-1,45.752,17.17437171936035,-83.93457622449534,-1
1667776830031117800,94.81811791992187,241.81564712524414,-1,-1,35.94914074829288,273.22564697265625,-1,45.752,17.837820053100586,-83.93458702722785,-1
1667776836449003000,101.2360029296875,241.81559371948242,-1,-1,35.949219868402025,273.22559356689453,-1,45.752,17.837820053100586,-83.93449559184108,-1
1667776842764105000,107.55110498046875,241.81547927856445,-1,-1,35.949357653994355,273.22547912597656,-1,112.46677405892864,17.837820053100586,-83.93438452759918,-1
1667776848782144000,113.56914404296874,241.81547927856445,-1,-1,35.9494666091176,273.22547912597656,-1,137.66666666666666,17.837820053100586,-83.93431746911969,-1
1667776853397799000,118.184798828125,241.81561279296875,-1,-1,35.94945749974342,273.22561264038086,-1,152.29465248628262,17.837820053100586,-83.93428431752749,-1
1667776859409803000,124.19680297851562,241.81561279296875,-1,-1,35.94942893935853,273.6883239746094,-1,172.3565168987036,17.837820053100586,-83.93426042294686,-1
1667776859816900000,124.60390014648438,241.93991088867188,-1,-1,35.949125511248575,273.349910736084,-1,75,15.779772758483887,-83.93427678556058,-1
1667776861016065000,125.80306494140625,242.02627563476562,-1,-1,35.949100314059876,273.43627548217773,-1,75,15.465410232543945,-83.93427352465763,-1
1667776867442453000,132.22945288085938,242.1582145690918,-1,-1,35.94892259500031,273.5682144165039,-1,59,19.43134117126465,-83.93423309999832,-1
1667776873856716000,138.64371606445312,242.34207725524902,-1,-1,35.94868250384616,273.75207710266113,-1,52,20.49799346923828,-83.93421532306175,-1
1667776880401142000,145.18814208984375,241.1979579925537,-1,-1,35.94863536897307,272.6079578399658,-1,52,20.83789825439453,-83.93424326100836,-1
1667776886823575000,151.61057495117188,241.5020637512207,-1,-1,35.94864508928143,272.9120635986328,-1,70.81965876652279,20.877838134765625,-83.93439602562712,-1
1667776893577138000,158.36413793945312,241.65370750427246,-1,-1,35.94867524967082,273.06370735168457,-1,87.2532102597424,21.02104377746582,-83.93449997612208,-1
