time,seconds_elapsed,z,y,x
1667776286533559600,0.0205595703125,-9.732558927872777,-1.1619662422023713,0.3122835595114156
1667776286543610600,0.030610595703125,-9.73051836195588,-1.1750736341219394,0.32650114116258916
1667776286553661700,0.04066162109375,-9.729002112174033,-1.184471796260029,0.337529680981487
1667776286563712500,0.05071240234375,-9.72824281823933,-1.1891686488393693,0.3428572326797992
1667776286573763600,0.060763671875,-9.728357384529708,-1.1887122833739965,0.3411922951422632
1667776286583815700,0.070815673828125,-9.729147658124566,-1.183788051779568,0.33573885204195975
1667776286593866500,0.080866455078125,-9.730296243637799,-1.175900732595846,0.33012152361683544
1667776286603917600,0.09091748046875,-9.731394560268521,-1.1675911694120615,0.3272241582075134
1667776286613968600,0.10096875,-9.732165544641017,-1.1606406926870345,0.3290140372989699
1667776286624019700,0.111019775390625,-9.732435009232162,-1.1566294842842966,0.33511640929467973
1667776286634070500,0.121070556640625,-9.73199369520545,-1.1575042943574487,0.3447638700187206
1667776286644123400,0.131123291015625,-9.730696056610345,-1.1650140854656696,0.35591819164175537
1667776286654174200,0.14117431640625,-9.728820910388231,-1.1775734881136566,0.36571371906697747
1667776286664225300,0.151225341796875,-9.726801971781253,-1.191887040952593,0.3729744307849556
1667776286674276400,0.1612763671875,-9.724824534228443,-1.2062461864989251,0.37834264328721906
1667776286684327400,0.171327392578125,-9.723121821963787,-1.2191432966686784,0.38075814346373077
1667776286694378500,0.18137841796875,-9.72190075573623,-1.2290823607504366,0.379976016642712
1667776286704430300,0.191430419921875,-9.721222125822305,-1.2353091263107954,0.3771355690523982
1667776286714481400,0.2014814453125,-9.720994746807216,-1.2375231490984557,0.3757455759987235
1667776286724532500,0.211532470703125,-9.72110054526925,-1.2367355058521032,0.3756039025057107
1667776286734583300,0.221583251953125,-9.721465871450304,-1.233812750273198,0.3757583624150604
1667776286744634400,0.23163427734375,-9.72212638118565,-1.2293294673793018,0.37335060715358703
1667776286754686500,0.2416865234375,-9.722959324878454,-1.224545886364579,0.3673257573734969
1667776286764737300,0.2517373046875,-9.723791099527478,-1.2206293705079705,0.3582426160013303
1667776286774788400,0.261788330078125,-9.72468307993114,-1.2169776430673898,0.3462481902923435
1667776286784839400,0.27183935546875,-9.72589362476468,-1.2105782243538648,0.3344820569138974
1667776286794890500,0.281890380859375,-9.727357267576455,-1.201628171309456,0.3240370526039973
1667776286804941000,0.291941162109375,-9.72880395925343,-1.192653714476153,0.3135759008768946
1667776286814993400,0.301993408203125,-9.73003262426555,-1.1852829665124416,0.3032482941352762
1667776286825044500,0.31204443359375,-9.73111457428336,-1.1786374640833586,0.2942965605904348
1667776286835095300,0.32209521484375,-9.732120536455511,-1.1718597866419702,0.2880170419295318
1667776286845146000,0.33214599609375,-9.73294471231997,-1.1661871478330343,0.28315029440969225
1667776286855197200,0.342197265625,-9.73353917108178,-1.1626844004090875,0.27705433388845996
1667776286865249300,0.352249267578125,-9.734229491433501,-1.1595088391128927,0.2658911165729165
1667776286875300400,0.36230029296875,-9.735328977108,-1.153823121626675,0.24989978498117996
1667776286885351200,0.37235107421875,-9.736803141313791,-1.145327972742915,0.2308041672311723
1667776286895402200,0.38240234375,-9.73841116103232,-1.1355023789729923,0.2106418883640319
1667776286905453300,0.392453369140625,-9.739930333423613,-1.1256338228441773,0.1925869022407569
1667776286915504000,0.402504150390625,-9.741195238792896,-1.1168071039184928,0.17956349881021305
1667776286925556200,0.41255615234375,-9.74204279553294,-1.1102173502646386,0.1743531985497102
1667776286935607300,0.422607177734375,-9.74236077544093,-1.1069854556713252,0.1771285450145602
1667776286945658000,0.432658203125,-9.742313429167867,-1.1060453252770006,0.1853985981718637
1667776286955709200,0.442709228515625,-9.742066760930419,-1.1066055895082652,0.19478432095348833
1667776286965760300,0.45276025390625,-9.741834705740214,-1.1073027049269526,0.2022876823209226
1667776286975812000,0.46281201171875,-9.74182067721486,-1.1064192731559277,0.2077157169853337
1667776286985863200,0.47286328125,-9.742108261984587,-1.1034577199365943,0.20998758917376398
1667776286995914200,0.482914306640625,-9.742682262480258,-1.0988744837995619,0.20736412706868723
1667776287005965300,0.49296533203125,-9.74327555219829,-1.0945432496622205,0.2023285440542735
1667776287016016100,0.50301611328125,-9.743696407958865,-1.091726146414876,0.19722026112983002
1667776287026067200,0.513067138671875,-9.743905082273482,-1.090588374556601,0.19317140586413442
1667776287036119300,0.523119384765625,-9.743938984543085,-1.090479872680828,0.1920595356320962
1667776287046170000,0.533170166015625,-9.743865334784983,-1.090611901562661,0.19501990154134108
1667776287056221200,0.54322119140625,-9.743746676841377,-1.0908351889245211,0.19967223912551998
1667776287066272300,0.553272216796875,-9.74365023072958,-1.0906493109636008,0.20529508397597818
1667776287076323300,0.5633232421875,-9.74353917157054,-1.0904686936996877,0.21143440871490166
1667776287086375200,0.573375244140625,-9.743308285424114,-1.0912141052395106,0.21811856265394017
1667776287096426200,0.58342626953125,-9.742778124070167,-1.0948971046011895,0.22329709780300036
1667776287106477300,0.593477294921875,-9.741900172191858,-1.102044638268277,0.22642324873320757
1667776287116528400,0.6035283203125,-9.740875505319238,-1.110632726132497,0.22852224857276304
1667776287126579200,0.6135791015625,-9.739984109437465,-1.1182938353449106,0.22915696627972645
1667776287136630300,0.62363037109375,-9.739374453106523,-1.1239236579254268,0.22752852482767774
1667776287146682400,0.633682373046875,-9.738964118739961,-1.1277828906368463,0.22597473778072744
1667776287156733200,0.643733154296875,-9.738583010467886,-1.1310306403864174,0.22618496473161503
1667776287166784300,0.6537841796875,-9.738013686147331,-1.1354895925566553,0.22832387645645066
1667776287176835300,0.66383544921875,-9.737189510282873,-1.1418309974726288,0.2318284870439209
1667776287186886400,0.673886474609375,-9.736149061319232,-1.1496572341188789,0.23679387263264506
1667776287196938200,0.683938232421875,-9.734923903438448,-1.1586017342053354,0.24346966060213743
1667776287206989300,0.6939892578125,-9.733586517354846,-1.1684634222019463,0.24974874087162313
1667776287217040400,0.704040283203125,-9.732277188321948,-1.1783633233170956,0.2542129172062501
1667776287227091200,0.71409130859375,-9.731055537572502,-1.1879078351233154,0.2565546945594251
