sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.5429;1.6059;9.4146;-0.8094;2.4522;9.4605;-0.6424;-0.8375;-1.7989;-0.1431;-0.4265;0.3058;14.2;-20.98;-27.32;-18.0;134.55;-14.48;4.89;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;5;2022-11-11 15:57:07:433
0.0796;2.08;8.2846;0.1207;1.9131;9.6175;-0.1861;0.7179;-1.0189;0.2877;-0.1132;-0.051;14.2;-27.06;-13.63;-30.6;106.34;-10.83;0.14;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;505;2022-11-11 15:57:07:933
1.4441;1.0816;8.3252;1.1704;1.747;9.5785;0.2305;-1.3637;-0.5277;-0.2708;0.3615;0.8798;12.0;-21.92;-11.27;-31.01;103.72;-11.22;-8.49;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;1005;2022-11-11 15:57:08:433
1.6573;3.696;9.903;0.6068;2.3378;9.5046;0.9873;-0.0838;2.3568;0.2834;0.0928;-0.7552;12.0;-18.17;-3.04;-33.07;71.08;-13.41;-5.34;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;1505;2022-11-11 15:57:08:933
-0.428;2.7885;12.6419;0.2385;2.6647;9.4347;-0.4796;0.5831;1.0629;-0.2307;-0.161;-0.2031;14.1;-10.99;-0.64;-33.98;50.53;-15.77;-1.45;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;2005;2022-11-11 15:57:09:433
0.9413;1.9747;9.2566;1.1304;1.5041;9.6245;-1.3255;0.1345;-1.6217;-0.1906;0.181;0.616;15.9;-11.64;2.01;-36.94;41.7;-9.56;-7.0;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;2505;2022-11-11 15:57:09:933
1.0155;1.934;8.1099;0.368;1.7434;9.6434;0.7524;-0.4193;-1.8513;0.0637;-0.1371;-0.2543;19.4;-16.71;4.2;-37.29;55.94;-10.42;-1.77;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;3005;2022-11-11 15:57:10:433
0.891;2.3049;9.7618;1.1992;1.8223;9.5609;-0.1451;0.1591;0.9458;-0.2592;0.0592;-0.1708;19.4;-20.92;-0.88;-39.26;62.15;-12.23;-8.67;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;3505;2022-11-11 15:57:10:933
1.5326;2.0584;12.6203;0.6128;1.2353;9.7092;0.3053;-0.0056;2.2045;0.2422;0.4034;0.3678;19.4;-27.88;-2.04;-42.79;81.78;-7.24;-3.61;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;4004;2022-11-11 15:57:11:432
1.0947;3.3344;9.9796;1.259;3.1441;9.2033;0.0323;-0.5847;-1.8563;-0.1933;-0.7326;-0.3622;16.5;-36.75;-5.29;-41.79;72.7;-19.2;-5.55;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;4505;2022-11-11 15:57:11:933
1.8153;1.3092;10.4752;0.8411;1.3092;9.6824;-0.3493;-0.0479;-1.5885;-0.4498;0.2663;0.8267;16.5;-39.86;-10.33;-39.82;96.47;-7.67;-4.96;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;5005;2022-11-11 15:57:12:433
0.4696;1.5078;8.6151;-0.4291;1.8642;9.6183;0.7702;-0.1585;-0.4765;0.1575;-0.2302;-0.621;26.4;-37.14;-5.23;-45.69;85.64;-10.48;3.46;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;5505;2022-11-11 15:57:12:933
-0.2294;0.9165;8.1745;0.6696;1.1858;9.7116;0.1794;-0.8804;-0.5827;0.5002;-0.069;-0.4614;35.7;-21.79;-4.27;-49.93;88.47;-4.99;-4.03;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;6006;2022-11-11 15:57:13:434
0.5752;1.06;12.8644;-0.2639;1.5456;9.6805;0.8204;2.4115;2.5388;0.0048;-0.4495;-1.1495;50.1;-13.72;5.68;-53.68;50.68;-8.69;3.25;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;6505;2022-11-11 15:57:13:933
0.0676;2.6163;8.2582;-0.1879;2.4169;9.5023;0.4308;-0.3678;-0.9312;-0.0391;-0.8837;-1.1291;50.1;-5.74;5.76;-58.65;19.42;-14.27;1.13;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;7005;2022-11-11 15:57:14:433
0.5847;0.9739;8.9333;0.4114;3.0117;9.3237;0.6081;-3.295;1.2671;0.476;-0.0878;-0.9547;50.1;-13.46;-3.11;-55.29;38.46;-16.12;-3.13;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;7505;2022-11-11 15:57:14:933
0.6111;3.842;12.8453;-0.6303;2.6429;9.4227;0.4723;1.6423;0.4399;-0.1155;0.4235;-1.0119;34.6;-7.09;-16.74;-52.59;111.22;-14.54;1.34;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;8004;2022-11-11 15:57:15:432
-0.5812;1.1151;10.5805;0.6535;1.464;9.6747;0.6126;-1.3969;1.159;-0.4495;-0.8295;-1.3684;40.8;18.9;-20.31;-43.69;239.46;-10.19;-1.77;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;8505;2022-11-11 15:57:15:933
-0.7083;0.3682;7.4994;0.6863;2.0145;9.5729;-0.4954;-2.6134;3.1266;0.7006;0.0967;-0.5092;15.1;46.01;-3.73;-45.79;275.62;-11.85;-4.1;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 0;9005;2022-11-11 15:57:16:433
0.9102;1.1414;12.0841;-1.4088;1.7813;9.5401;3.1721;0.4596;0.4111;0.1346;1.1535;-0.9386;15.1;43.56;-4.84;-39.9;272.72;-9.28;3.74;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 1;9505;2022-11-11 15:57:16:933
0.472;2.0177;11.6746;1.2698;2.1166;9.4909;-1.092;0.5918;0.4156;-0.2849;-0.5435;-0.5001;15.6;37.67;3.77;-39.86;286.51;-14.2;-6.62;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 1;10005;2022-11-11 15:57:17:433
0.3906;1.6394;9.8073;0.5626;1.2408;9.7116;-0.6789;0.1454;-1.713;-0.3269;0.3925;1.1768;15.6;30.39;6.58;-46.61;292.25;-8.65;-4.18;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 2;10505;2022-11-11 15:57:17:933
0.5369;1.448;7.6119;-0.1096;2.7761;9.4049;0.5249;-0.6067;-0.6942;0.5942;0.0254;-0.0376;13.6;24.38;3.08;-42.24;302.27;-16.44;0.67;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 2;11005;2022-11-11 15:57:18:433
-0.6461;1.4791;8.9237;0.7143;1.8273;9.6084;-0.7079;-0.894;1.206;0.1975;0.7929;0.233;13.6;19.99;7.5;-42.9;297.98;-9.93;-10.35;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 2;11505;2022-11-11 15:57:18:933
0.3404;2.8819;10.1901;-0.1375;1.4539;9.6973;0.4967;0.6904;1.8149;0.4813;-0.1658;-0.2061;17.0;20.63;9.6;-40.33;308.26;-9.49;0.17;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 2;12005;2022-11-11 15:57:19:433
-0.05;2.0943;10.8416;0.8397;2.2592;9.5059;-0.2479;-0.1273;0.9718;-0.0531;-0.5986;-0.7381;19.5;19.24;12.45;-38.55;313.56;-13.33;-3.62;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 3;12505;2022-11-11 15:57:19:933
0.5393;2.4009;10.0107;-0.0201;1.5784;9.6788;-0.3225;0.4292;-1.5152;0.1651;0.6608;0.6789;27.3;13.16;16.71;-41.38;331.09;-9.26;0.12;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 3;13005;2022-11-11 15:57:20:433
0.6135;2.3743;6.6015;0.7636;2.2729;9.509;-0.8298;-0.3076;-2.048;0.2533;-0.6288;-0.2645;38.7;10.01;18.0;-41.89;337.98;-11.84;-0.82;5.0;35.95827;-83.92467;;NaN;;278.04544;;0 / 3;13505;2022-11-11 15:57:20:933
