sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.1163;-2.2726;10.1255;-0.331;-1.129;9.7358;-0.7183;1.2498;1.8132;-0.7612;-1.1827;0.4096;18.6;45.06;-13.93;-2.94;251.75;5.54;5.83;5.0;35.958347;-83.92447;738.44;NaN;0.0;52.66798;;0 / 0;5;2022-11-09 17:16:32:997
-2.9013;0.2222;9.2231;-1.9549;0.2187;9.6073;-0.1466;0.4911;-0.6284;-0.0712;-0.0446;-0.281;16.7;42.17;-15.84;-15.92;248.29;-1.83;10.74;5.0;35.958347;-83.92447;738.44;NaN;0.0;52.66798;;0 / 0;506;2022-11-09 17:16:33:498
-1.8909;0.9021;11.3779;-0.8651;1.7978;9.6016;-0.3603;0.417;1.3018;-0.3846;0.2757;0.4205;16.7;46.16;-17.04;-17.04;253.28;-9.59;3.14;5.0;35.958347;-83.92447;738.44;NaN;0.0;52.66798;;0 / 0;1005;2022-11-09 17:16:33:997
-0.7657;1.3786;9.5988;-0.6979;1.1216;9.7173;-0.9434;0.1251;-0.1108;-0.2619;-0.5046;-0.2789;16.7;41.63;-22.22;-29.03;245.6;-7.31;5.92;5.0;35.958347;-83.92447;738.44;NaN;0.0;52.66798;;0 / 0;1506;2022-11-09 17:16:34:498
-0.4543;0.6194;8.9333;-1.362;0.3788;9.7042;0.5016;0.073;-1.4675;0.1172;-0.466;-0.2341;12.9;40.52;-12.62;-38.48;251.62;-1.94;8.9;5.0;35.958347;-83.92447;738.44;NaN;0.0;52.66798;;0 / 0;2006;2022-11-09 17:16:34:998
-2.3459;1.0816;9.0027;-1.258;1.3999;9.6243;-0.5314;-0.6745;-0.2483;0.0828;0.2954;0.3572;15.2;42.24;-6.71;-35.96;267.79;-7.71;7.28;5.0;35.958347;-83.92447;738.44;NaN;0.0;52.66798;;0 / 0;2506;2022-11-09 17:16:35:498
-2.2642;3.0999;10.6834;-2.1532;2.0954;9.3351;-1.0386;0.4472;2.363;0.0134;-0.604;0.2886;11.5;48.17;-3.82;-24.82;275.4;-12.03;15.3;5.0;35.958347;-83.92447;738.44;NaN;0.0;52.66798;;0 / 0;3006;2022-11-09 17:16:35:998
-0.5764;1.4671;10.736;-0.0586;0.7495;9.7778;-0.5276;0.9792;0.3297;-0.759;0.3696;-0.1284;11.5;65.46;35.93;-23.49;300.19;-5.24;-0.41;5.0;35.958347;-83.92447;738.44;NaN;0.0;52.66798;;0 / 0;3505;2022-11-09 17:16:36:497
-1.29;1.2658;8.275;-0.6719;1.2332;9.7056;-0.6348;0.0207;-1.2235;0.2149;-0.1105;0.0463;17.2;73.78;46.37;-19.56;303.96;-7.22;3.96;5.0;35.958347;-83.92447;738.44;NaN;0.0;52.66798;;0 / 0;4006;2022-11-09 17:16:36:998
1.547;-0.35;10.0872;0.4939;-0.4118;9.7855;1.0847;0.0088;0.2536;-0.4749;-0.2467;-0.3916;15.1;73.09;62.01;-26.59;309.69;1.4;-2.18;5.0;35.958347;-83.92447;738.44;NaN;0.0;52.66798;;0 / 0;4506;2022-11-09 17:16:37:498
