sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.9763;4.9217;12.0458;-1.5792;3.7317;8.9304;0.7159;1.4874;2.0539;0.141;-0.0622;-0.046;26.6;19.89;-1.11;-46.74;325.16;-21.12;9.68;5.0;35.95832;-83.9248;;NaN;;129.03226;;0 / 0;4;2022-11-11 15:54:29:974
-0.0906;2.9635;9.8719;-0.8528;2.4218;9.4646;0.9268;0.4104;-0.4068;-0.1539;0.4432;0.2084;35.2;18.64;-9.08;-40.22;275.73;-14.3;5.15;5.0;35.95832;-83.9248;;NaN;;129.03226;;0 / 1;504;2022-11-11 15:54:30:474
-0.3586;2.4416;7.765;-0.661;2.1478;9.5457;-0.1038;0.4104;-2.0139;-0.2813;-0.4975;-0.8899;43.6;17.81;-14.08;-36.66;251.0;-12.65;3.96;5.0;35.95832;-83.9248;;NaN;;129.03226;;0 / 1;1004;2022-11-11 15:54:30:974
-0.3586;0.8901;8.8711;-1.3345;2.9962;9.2419;2.2566;-2.588;2.3983;0.813;-0.4614;-1.4289;49.1;34.22;-21.15;-33.41;253.57;-17.79;8.22;5.0;35.95832;-83.9248;;NaN;;129.03226;;0 / 1;1504;2022-11-11 15:54:31:474
-0.0042;6.0805;13.561;1.1544;2.5578;9.3966;-0.4814;1.7104;2.6309;0.4085;0.3598;-0.7677;32.5;42.64;-13.42;-39.96;263.87;-13.1;-9.0;5.0;35.95832;-83.9248;;NaN;;129.03226;;0 / 4;2004;2022-11-11 15:54:31:974
0.9365;3.909;8.1817;1.22;2.8679;9.2982;-0.8014;-0.2837;-1.5675;-0.4213;-0.6845;-0.3916;22.0;40.63;-7.44;-31.07;270.94;-17.0;-7.47;5.0;35.95832;-83.9248;;NaN;;129.03226;;0 / 4;2504;2022-11-11 15:54:32:474
0.4074;3.0688;7.7028;0.4217;3.6234;9.1029;-1.4047;-0.8221;-2.8569;-0.2437;0.4414;0.4507;21.1;33.39;-5.89;-31.95;279.35;-21.68;-2.65;5.0;35.95832;-83.9248;;NaN;;129.03226;;0 / 7;3005;2022-11-11 15:54:32:975
0.3093;3.6745;6.4747;0.3813;4.0202;8.9366;0.5769;-1.8711;-0.8836;0.2564;-0.6033;-0.547;24.8;25.41;-6.09;-28.8;282.83;-24.2;-2.44;5.0;35.95832;-83.9248;;NaN;;129.03226;;0 / 9;3503;2022-11-11 15:54:33:473
0.0317;2.4655;9.0625;0.2997;3.377;9.202;-0.9952;-1.2092;2.9071;0.0239;0.4597;1.1212;37.7;21.92;-4.59;-30.15;282.95;-20.13;-2.26;5.0;35.958447;-83.92468;728.1;NaN;0.0;197.65216;;0 / 9;4004;2022-11-11 15:54:33:974
1.7267;2.5373;10.4584;0.7563;3.3761;9.1761;1.3915;0.3142;0.95;0.1126;-0.2014;-0.2353;21.6;9.53;-7.5;-28.63;279.9;-20.14;-4.71;5.0;35.958447;-83.92468;728.1;NaN;0.0;197.65216;;0 / 9;4504;2022-11-11 15:54:34:474
0.7235;2.5923;13.2835;1.6062;2.9165;9.2241;-1.7212;1.2897;3.8403;-0.2608;-0.6997;0.0043;26.3;0.6;-7.61;-27.41;272.26;-17.3;-9.88;5.0;35.958447;-83.92468;728.1;NaN;0.0;197.65216;;0 / 9;5004;2022-11-11 15:54:34:974
2.9237;3.2435;11.2316;0.9337;3.5386;9.0982;0.4147;0.6327;0.2678;-0.0802;0.1704;0.3462;67.3;-13.37;-4.63;-24.58;65.23;-21.15;-5.86;5.0;35.958447;-83.92468;728.1;NaN;0.0;197.65216;;0 / 9;5504;2022-11-11 15:54:35:474
-0.2868;4.4716;9.8886;0.6525;3.9454;8.9542;-0.3019;0.3305;-0.3488;-0.0156;0.2472;-0.0744;84.0;-13.89;2.1;-25.72;42.16;-24.02;-5.06;5.0;35.958447;-83.92468;728.1;NaN;0.0;197.65216;;5 / 9;6004;2022-11-11 15:54:35:974
1.7483;3.952;7.5784;0.8267;3.0818;9.2731;0.5333;0.0855;-1.3974;0.0893;0.2791;0.3669;108.5;-8.01;5.7;-28.97;19.78;-18.32;-5.09;5.0;35.958447;-83.92468;728.1;NaN;0.0;197.65216;;5 / 9;6504;2022-11-11 15:54:36:474
1.8129;3.1262;10.2069;0.9746;3.8156;8.9812;1.2413;0.5381;-0.0298;-0.5814;-0.4162;-1.1936;122.8;0.17;1.16;-34.16;345.39;-22.9;-6.19;5.0;35.958447;-83.92468;728.1;NaN;0.0;197.65216;;5 / 9;7004;2022-11-11 15:54:36:974
1.6403;3.7271;7.1163;1.6308;3.361;9.0672;-0.4787;-1.196;-0.7343;-0.5628;0.0947;-0.4495;204.6;18.68;1.33;-45.43;299.3;-20.04;-10.2;5.0;35.958447;-83.92468;728.1;NaN;0.0;197.65216;;5 / 9;7504;2022-11-11 15:54:37:474
-0.2509;4.7782;13.7288;-0.5135;2.8985;9.3544;-0.7618;1.3318;0.8105;0.0983;0.5417;-0.2945;204.1;31.97;6.47;-49.59;305.72;-17.19;3.14;5.0;35.958447;-83.92468;728.1;NaN;0.0;197.65216;;5 / 9;8004;2022-11-11 15:54:37:974
0.4624;2.4535;8.2439;0.3537;3.037;9.3178;0.3259;-0.2392;-2.0723;0.0601;-0.5637;-0.9872;142.1;32.87;14.64;-44.7;308.71;-18.04;-2.17;5.0;35.958447;-83.92468;728.1;NaN;0.0;197.65216;;5 / 9;8504;2022-11-11 15:54:38:474
-1.0887;1.6226;7.7698;-0.1361;3.5753;9.1307;-0.7746;-2.6219;-0.0552;0.4504;-0.442;-0.7261;73.8;21.51;19.07;-45.02;327.65;-20.12;1.03;5.0;35.958447;-83.92468;728.1;NaN;0.0;197.65216;;5 / 9;9004;2022-11-11 15:54:38:974
2.0163;1.8598;11.0785;-0.5269;3.0505;9.3052;0.5555;1.7344;3.62;0.9601;0.0811;-1.4047;66.2;17.64;30.39;-42.28;339.57;-18.12;3.24;5.0;35.958447;-83.92468;728.1;NaN;0.0;197.65216;;5 / 9;9504;2022-11-11 15:54:39:474
-0.3179;3.5859;9.6685;0.2711;3.52;9.1491;-1.0636;0.4881;-0.0406;0.0539;-0.1;-0.2721;76.1;3.66;32.25;-36.21;353.24;-21.03;-1.7;5.0;35.958447;-83.92468;728.1;NaN;0.0;197.65216;;5 / 9;10004;2022-11-11 15:54:39:974
