sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.4464;1.3475;7.7028;-0.7685;2.3014;9.5018;-2.0635;-1.3626;-0.1415;-0.2139;-0.0986;0.5966;115.4;26.53;24.3;-37.39;323.63;-13.57;4.62;5.0;35.958298;-83.92443;814.97;NaN;0.0;229.85567;;4 / 6;7;2022-11-11 15:57:59:275
0.9676;1.3283;9.5294;-1.8336;1.6877;9.4847;1.2411;0.812;2.2115;0.4384;-0.5183;-0.2953;147.7;33.69;16.58;-39.21;313.26;-9.91;10.94;5.0;35.958298;-83.92443;814.97;NaN;0.0;229.85567;;4 / 6;506;2022-11-11 15:57:59:774
0.204;3.1382;10.6953;-0.3455;1.9087;9.6129;-0.4295;0.6868;-0.0769;0.1874;-0.7371;-1.0075;147.7;37.43;5.1;-47.81;292.36;-11.22;2.06;5.0;35.958298;-83.92443;814.97;NaN;0.0;229.85567;;4 / 6;1006;2022-11-11 15:58:00:274
0.6589;-1.0229;8.0189;0.1681;0.9683;9.7573;0.9433;-1.5596;0.396;-0.4206;-1.1343;-0.8892;176.9;44.94;12.13;-59.81;294.34;-6.11;3.62;5.0;35.958298;-83.92443;814.97;NaN;0.0;229.85567;;4 / 6;1506;2022-11-11 15:58:00:774
5.1168;1.2733;8.3061;0.8824;2.2096;9.5137;1.8291;0.3969;0.4384;0.54;0.7085;-0.1155;118.3;20.44;15.68;-75.79;320.11;-13.02;-5.3;5.0;35.958298;-83.92443;814.97;NaN;0.0;229.85567;;4 / 6;2006;2022-11-11 15:58:01:274
1.5422;2.913;10.3914;0.3551;2.2076;9.5483;0.8886;0.7308;0.9752;-0.0405;-0.3909;-0.8025;84.1;14.98;-1.5;-65.21;307.85;-13.01;-2.13;5.0;35.958298;-83.92443;814.97;NaN;0.0;229.85567;;4 / 6;2506;2022-11-11 15:58:01:774
-0.1792;2.1087;10.3699;0.6267;1.5088;9.6696;-0.3849;0.1575;-0.2365;-0.5899;-0.1714;-0.7263;84.1;13.2;0.54;-52.09;298.43;-8.85;-3.71;5.0;35.958298;-83.92443;814.97;NaN;0.0;229.85567;;4 / 6;3006;2022-11-11 15:58:02:274
1.5781;0.5764;7.0134;0.973;1.619;9.623;0.0505;-1.3068;-1.4819;0.1643;-0.6181;-0.8233;81.0;-4.76;15.56;-43.24;5.01;-10.32;-3.91;5.0;35.958298;-83.92443;814.97;NaN;0.0;229.85567;;4 / 6;3505;2022-11-11 15:58:02:773
-0.5477;-1.0062;10.7889;0.9827;1.2576;9.6759;-1.8876;-0.4645;2.312;-0.0483;0.1138;0.5005;70.0;-23.98;15.88;-40.14;42.98;-7.37;-5.8;5.0;35.958298;-83.92443;814.97;NaN;0.0;229.85567;;4 / 6;4006;2022-11-11 15:58:03:274
1.2383;1.0074;11.6698;0.2284;1.1706;9.7339;1.0685;0.3334;2.3434;-0.2869;-0.3635;-0.1458;62.0;-25.86;18.11;-38.76;47.98;-6.86;-1.34;5.0;35.958298;-83.92443;814.97;NaN;0.0;229.85567;;4 / 6;4506;2022-11-11 15:58:03:774
0.7164;0.1382;10.8177;0.7851;1.5555;9.6506;-0.2208;0.5262;0.6387;-0.442;-0.058;-0.6567;62.0;-26.31;17.08;-36.37;45.23;-9.13;-4.65;5.0;35.958298;-83.92443;814.97;NaN;0.0;229.85567;;4 / 6;5006;2022-11-11 15:58:04:274
