sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.0636;4.3098;8.709;-0.6171;4.0;8.9325;-0.3579;0.3117;-0.0441;-0.0341;-0.0588;-0.006;37.3;-14.91;-7.71;13.89;133.8;-24.07;3.95;5.0;35.958927;-83.92463;;NaN;;129.03226;;0 / 0;3;2022-10-28 13:48:11:521
0.0781;3.9846;9.3284;-0.6995;3.4266;9.1619;0.8605;0.5765;0.0374;-0.3684;-0.398;-0.1961;37.3;-14.31;-7.91;12.88;133.71;-20.45;4.37;5.0;35.958927;-83.92463;;NaN;;129.03226;;0 / 0;504;2022-10-28 13:48:12:022
0.1531;4.3319;9.5085;-0.4671;3.94;8.9682;0.4814;0.4242;0.6613;0.4438;0.0383;-0.3566;37.3;-9.83;-7.69;10.03;140.29;-22.71;2.86;5.0;35.958927;-83.92463;;NaN;;129.03226;;0 / 0;1003;2022-10-28 13:48:12:521
-1.7288;4.2182;7.6555;-1.749;3.8577;8.8448;0.1468;0.3443;-1.0633;-0.0341;0.1322;-0.3952;28.8;-1.71;-5.76;10.05;174.9;-25.09;6.41;5.0;35.958927;-83.92463;;NaN;;129.03226;;0 / 0;1504;2022-10-28 13:48:13:022
0.3742;0.8782;8.8968;1.0743;1.8119;9.5777;0.5046;-0.7219;0.0026;-0.5763;-1.243;-0.4268;24.5;8.53;-2.62;3.98;245.53;-10.65;-6.4;5.0;35.958927;-83.92463;;NaN;;129.03226;;0 / 0;2004;2022-10-28 13:48:13:522
11.9845;-5.0258;2.7162;8.6518;-4.5054;-1.0091;3.7333;0.2696;4.9456;2.5782;-3.8797;3.8412;26.0;-0.9;-3.0;-4.44;230.87;14.04;-86.89;5.0;35.958927;-83.92463;;NaN;;129.03226;;0 / 0;2504;2022-10-28 13:48:14:022
5.4972;-4.6887;2.6602;8.8346;-4.1495;0.9496;-3.9863;-0.3331;1.4882;-1.5252;1.0013;-1.8561;4.0;-41.93;14.81;26.4;98.42;27.17;-83.98;0.0;35.958927;-83.92463;;NaN;;129.03226;;0 / 0;3004;2022-10-28 13:48:14:522
7.689;-5.8394;2.7096;9.0581;-3.7571;0.0743;-1.1225;-2.1203;3.1931;-0.0829;0.2842;-0.462;0.0;-48.81;5.04;12.51;141.86;23.84;-91.12;0.0;35.958927;-83.92463;;NaN;;129.03226;;0 / 0;3504;2022-10-28 13:48:15:022
9.7017;-7.3152;2.2956;8.8956;-4.0962;-0.5098;2.3398;-0.9807;-0.2334;-0.451;-1.1024;1.3751;0.0;-54.94;-1.11;6.24;173.24;24.69;-93.28;2.0;35.958927;-83.92463;;NaN;;129.03226;;0 / 0;4004;2022-10-28 13:48:15:522
9.0497;-7.1261;-2.7802;7.1457;-6.6219;-1.122;1.7415;-0.5039;-1.8444;-0.1712;0.0706;-0.3887;0.0;-60.79;25.8;23.74;149.33;42.47;-98.92;2.0;35.958927;-83.92463;;NaN;;129.03226;;0 / 0;4503;2022-10-28 13:48:16:021
