time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1667776595279021800,0.019021728515625,2.3227408079856176,-0.14097377338260889,-0.8952139837666867,-0.16098038990791833,-0.4035675775712948,-0.1259024604822277,0.3460707873704915
1667776595289072600,0.02907275390625,2.3210304943675455,-0.14053212038676124,-0.8950785193366347,-0.1605645235647467,-0.4043029540063637,-0.12499784686594806,0.34415450109662715
1667776595299124700,0.039124755859375,2.320063399795038,-0.14027309468240173,-0.8951711783012111,-0.16143267230528863,-0.4047804608140719,-0.12306475548241033,0.34042492299303767
1667776595309175800,0.04917578125,2.3201664065745087,-0.14019646706540195,-0.8955300055441878,-0.1634757941495333,-0.4048419705404864,-0.120308090088679,0.33523790144708215
1667776595319227600,0.0592275390625,2.3214651844965206,-0.14033478829068757,-0.8961455689846539,-0.16659788028014447,-0.40441784636540784,-0.11694196015563049,0.3290052837511928
1667776595329278700,0.06927880859375,2.3241133618244776,-0.1410597915367312,-0.8969550678254609,-0.17141393098870522,-0.40346678665122815,-0.11308567603195134,0.32223933062050875
1667776595339329800,0.079329833984375,2.328331749267779,-0.14303392251130523,-0.8978371013507846,-0.17901718345369344,-0.40194315321026597,-0.10895639678877506,0.3158591174929528
1667776595349381600,0.089381591796875,2.3341511375499757,-0.14660702609997037,-0.8986645038975596,-0.18969041867444844,-0.3998463180485411,-0.10503001604530815,0.3110033994546436
1667776595359432700,0.0994326171875,2.3415314742906586,-0.15166508816559787,-0.8993768544987499,-0.2028021128993176,-0.3971713532730727,-0.10185198165272627,0.3085534151111743
1667776595369484500,0.109484619140625,2.35066614161021,-0.15851847950149803,-0.899900833343583,-0.21891055039085527,-0.3938801031048855,-0.09954266863781365,0.308921755651934
1667776595379535600,0.11953564453125,2.3611224917054643,-0.16766285653927349,-0.9000153318576352,-0.2391492022676645,-0.3902435562893426,-0.09783401195917525,0.31200023964097
1667776595389588000,0.129587890625,2.3715161099281015,-0.17923380034442496,-0.8993962468851422,-0.26401089587327664,-0.38691548838223333,-0.09621837479512546,0.31705905712296006
1667776595399638500,0.139638427734375,2.3782984505673004,-0.1925848225914781,-0.8975203056531701,-0.2922765948349338,-0.385404435685527,-0.09397686632008453,0.3227105809550637
1667776595409689600,0.149689697265625,2.378249563483938,-0.2057892944145515,-0.8942828932947764,-0.32002060857853,-0.3868895415320875,-0.0906946182086092,0.3272590320974552
1667776595419742000,0.159741943359375,2.371325049724946,-0.2158076351881232,-0.890473673802125,-0.34079908524604646,-0.39101960989860174,-0.08710598659552202,0.32985009728257214
1667776595429792800,0.169792724609375,2.360879358279785,-0.22262075862481553,-0.886741808323849,-0.3545086173253415,-0.3963251210232931,-0.08399660925618044,0.33146328291420574
1667776595439844900,0.179844970703125,2.3513806813368667,-0.22833714473506117,-0.8833614325624474,-0.36575891005985484,-0.4010953650877219,-0.0815922779611346,0.3334668738876589
1667776595449896000,0.18989599609375,2.347560121559854,-0.23384406654465234,-0.8810242493144317,-0.37689520061889337,-0.4033641266460307,-0.08006572108922795,0.3360157649412759
1667776595459947800,0.19994775390625,2.3523065617680405,-0.2385211156198045,-0.8806144207715932,-0.38758414391624346,-0.4017489080215599,-0.07889115928558453,0.3369356287186801
1667776595469998800,0.209998779296875,2.3651059935011993,-0.2417554099342862,-0.8822827212150669,-0.39682582261148897,-0.39635484145400346,-0.0776805069923136,0.3349417871904552
1667776595480050000,0.2200498046875,2.38203434573142,-0.2421479785863345,-0.8855951766331976,-0.4007560802203327,-0.3887750525871652,-0.07706828010998604,0.3307841634219053
1667776595490101800,0.230101806640625,2.3988543298133145,-0.23876414571896598,-0.890042977891137,-0.3971892473619748,-0.38073303169961464,-0.07653568491310205,0.3236729149637575
1667776595500152800,0.24015283203125,2.4132428931973293,-0.23237899856482996,-0.8949493886311022,-0.387695977341312,-0.3733308531399263,-0.0754304984476806,0.313638270089094
1667776595510204700,0.25020458984375,2.4247864089816455,-0.223623421135217,-0.8998643235825332,-0.37283403144401067,-0.3669578156426894,-0.07469096147734822,0.3031669131379084
1667776595520255700,0.260255859375,2.433350553682043,-0.21368289381302172,-0.9042253834118229,-0.35414581597056866,-0.3619521163296945,-0.07554227429480567,0.2955859466113114
1667776595530307800,0.270307861328125,2.4401453845714336,-0.20488864086512731,-0.9076311529055211,-0.33650438166892366,-0.35800746535769323,-0.07782656569635352,0.2921157176689636
1667776595540358700,0.280358642578125,2.448182138102128,-0.19756944903214055,-0.9106001262058067,-0.3210484414370576,-0.3537475656520833,-0.08146438453062435,0.2922863753408131
1667776595550409700,0.29040966796875,2.460541093787567,-0.19103987432978925,-0.9139054775759189,-0.3070863888493051,-0.3476375909167091,-0.08618977580056887,0.2946070996464225
1667776595560461800,0.3004619140625,2.47768087129168,-0.18610651106566217,-0.9174936091466988,-0.29683213330458075,-0.33949495989635303,-0.09117628761308318,0.29806572072040094
1667776595570513000,0.310512939453125,2.4965684389166314,-0.18232785347100963,-0.9208970126333134,-0.2888389809068234,-0.33067559794780466,-0.09674134004186774,0.3033934295724593
1667776595580564700,0.320564697265625,2.51360555101955,-0.17872261054377364,-0.9237653425036129,-0.2807303969964171,-0.3227100680229505,-0.10283022841007447,0.31028829203512154
1667776595590615800,0.33061572265625,2.528235311526701,-0.1743160725153712,-0.9262887397848014,-0.2706445869815564,-0.3157132916501928,-0.10921654561211978,0.3177183438748018
1667776595600667600,0.340667724609375,2.542173330610583,-0.17174329073736125,-0.9282904833378278,-0.2646427667652102,-0.3092004272127484,-0.11478687610685495,0.3250090131244614
1667776595610718700,0.35071875,2.5566957229366793,-0.16874235232035498,-0.9304209669625191,-0.2581060624203825,-0.30232232369853373,-0.12018394064217469,0.33172289328477683
1667776595620770800,0.360770751953125,2.571781869953168,-0.1634016001207475,-0.9330347054485704,-0.24703738521918994,-0.29482068031924363,-0.12580501623505086,0.33747887700310325
1667776595630821600,0.370821533203125,2.5864015438439014,-0.15592567647080932,-0.9358961071768832,-0.2316833177244995,-0.28717002864520513,-0.13160215501094205,0.3425459883461864
1667776595640872700,0.380872802734375,2.5996444722013545,-0.14701003919676436,-0.9386738715709906,-0.2132060596117919,-0.2798716944387622,-0.13766315448263958,0.34769272971118176
1667776595650924800,0.3909248046875,2.6118178032189294,-0.1383330347245193,-0.9410760280703773,-0.19503158683307492,-0.27302289033405874,-0.1438691650853385,0.35364529770181086
1667776595660975600,0.4009755859375,2.6231015858156272,-0.13068229772633005,-0.9429699718681743,-0.17865880628790112,-0.26666395356488065,-0.15039967638717355,0.3611403709841654
1667776595671027700,0.41102783203125,2.6334848224592875,-0.1246310924167231,-0.9441753502818926,-0.1649115925092149,-0.2608933662757899,-0.15790671993880762,0.3717152950757875
1667776595681078800,0.421078857421875,2.641805073861994,-0.12022255579687274,-0.9444855972714574,-0.15346386625918462,-0.2562453171697576,-0.16682895202361883,0.3862831176295336
1667776595691131000,0.431130859375,2.647626716917124,-0.11638906599663656,-0.9440855810100344,-0.14223165856925504,-0.25272366078068437,-0.17688097565734712,0.40368532472104973
1667776595701181700,0.441181640625,2.650603297103134,-0.1118978904901195,-0.9432145357252284,-0.12882910374918555,-0.2502327376429082,-0.18763998802236312,0.42242178400002844
1667776595711232800,0.451232666015625,2.652530765442339,-0.10603871880088156,-0.9423457965059556,-0.11250932367357444,-0.2477973219014224,-0.19833496053743077,0.440456515470559
1667776595721284900,0.461284912109375,2.6573483966058453,-0.09949580310308821,-0.9419347604113213,-0.09578386696769708,-0.24379221567144724,-0.20838602615946913,0.4568069272401047
1667776595731336000,0.4713359375,2.663800356050502,-0.09319663283241242,-0.9416127435405947,-0.0801290017101865,-0.23897967476590867,-0.21810190274972183,0.47268584592495455
1667776595741387800,0.4813876953125,2.6723214111601927,-0.08744951448729779,-0.9415363826530339,-0.06664100267940141,-0.23331900818160567,-0.22676848219282142,0.4868325884915427
1667776595751438800,0.49143896484375,2.684125330777643,-0.08293738988952386,-0.9418442265362328,-0.05723105812170921,-0.22651841748281962,-0.2339662003489233,0.4987100730072465
1667776595761491000,0.501490966796875,2.695364827304098,-0.08006048169545829,-0.9419740562522692,-0.05151420974130372,-0.22038254971350735,-0.24022236562935814,0.509630046369116
1667776595771541800,0.511541748046875,2.7017950015132914,-0.07574235719991647,-0.9417571458091636,-0.04175615004621356,-0.21599335402075015,-0.24638070831883774,0.5198860848219669
1667776595781592800,0.5215927734375,2.697169105081478,-0.06601532013460384,-0.9405595166383549,-0.01715002234152199,-0.21482428237220438,-0.25463767377959956,0.5321267393285583
1667776595791645000,0.53164501953125,2.6798836670738737,-0.052258382308649355,-0.9378283960526369,0.020436147069507245,-0.2175949849986192,-0.26532864672493217,0.5473284473075861
1667776595801695700,0.54169580078125,2.6569849079497314,-0.037354836171434286,-0.9342621616183936,0.06267013422032343,-0.2219533596512977,-0.2765784779162377,0.5625863014316115
1667776595811747800,0.551747802734375,2.6362635745547385,-0.023616702291027906,-0.9309332400836458,0.1016139090216351,-0.22548209710151856,-0.2862925373668197,0.5748260035417478
1667776595821799000,0.561798828125,2.62494129600244,-0.012346058196219964,-0.9289923033164111,0.13135157633755273,-0.22599326836216332,-0.29282743011858625,0.5819441508453422
1667776595831850800,0.571850830078125,2.624579221458397,-0.0033996708782414913,-0.9288577552073046,0.15110323825608185,-0.22316399106879467,-0.2956510240492508,0.583265958253734
1667776595841901800,0.58190185546875,2.6316574339766565,0.0054934877542616965,-0.9301828490008535,0.16676301362726045,-0.21787468810202834,-0.29539870275612756,0.5789625214800832
1667776595851953700,0.59195361328125,2.642055250686185,0.01717073821016386,-0.9322530885849105,0.18617037721151122,-0.21081930444364483,-0.2935380984991325,0.5705128559995352
1667776595862004700,0.602004638671875,2.6536839106016683,0.030473512468931048,-0.9344493444188439,0.20818977855732565,-0.2029882723444941,-0.29098379743386704,0.5603086834030486
1667776595872055800,0.612055908203125,2.6657826243778553,0.04095300525745681,-0.9366549445068362,0.2239209957779063,-0.19593844696587687,-0.28741686215031803,0.5496306503339395
1667776595882107600,0.622107666015625,2.677129312730503,0.045040325182216664,-0.9390900157883048,0.22602105887924648,-0.19130521886693952,-0.2819285044190482,0.5378370259500652
1667776595892158700,0.63215869140625,2.6895201009861407,0.045705414543474134,-0.9421041842057248,0.2198872159757158,-0.18754542556668113,-0.2741849290740517,0.5229959593629172
1667776595902210800,0.6422109375,2.7017058828659413,0.045288050862006726,-0.9455101755851285,0.2108339638116261,-0.18446888254555907,-0.2644443781836946,0.5044902172501717
1667776595912261600,0.65226171875,2.710251610449621,0.04512392969089049,-0.948866447915074,0.20270308073375315,-0.183137176371701,-0.2531344156563027,0.4823403296137901
1667776595922313700,0.662313720703125,2.7160444331316436,0.04629527285318092,-0.9520656535095647,0.19769196021365265,-0.18279425510870592,-0.2408609690739425,0.4574992212112555
1667776595932364800,0.67236474609375,2.7225408067899006,0.048128646907801345,-0.9553412468142619,0.19367180123858938,-0.18201975931126507,-0.22776180400299795,0.4308681481535928
